Cooresponding CSE,Legitimate Domains,Identified Phishing/Suspected Domain Name,source_workbook,hash_score,confidence_band,score_margin,evidence_tier,lexical_score,jw_primary,token_set_primary,skeleton_similarity,lexical_rule_hit,brand_token_hit,candidate_generation_reason,dominant_signal_family,stage1_passthrough,survival_path,drop_path,old_fuzzy_hit,old_fuzzy_cse,hybrid_lexical_hit,strict_lexical_hit,lexical_score_pass,fallback_rank_only,admission_reason,admission_path,fetch_status,visual_status,fetch_error_type,fetch_error_detail,final_landing_url,parking_provider,parking_reason,placeholder_or_parking_reason,best_score,domain_component,hash_component,lexical_hit,brand_score,credential_score,infra_score,evasion_score,total_stage1_score,hard_trigger_hit,stage1_reasons,page_has_password_field,page_has_login_form,form_action_mismatch,csc_mention_count,redirect_count,final_domain,favicon_domain,html_bytes_read,escalate_to_hashing,escalate_reason,typo_similarity,typo_min_score_used,typo_decision_reason,favicon_hash_similarity,favicon_hash_distance,page_hash_similarity,page_hash_distance,domain_hash_similarity,domain_hash_distance,ssl_hash_similarity,ssl_hash_distance,typo_anchor,hash_anchor,generic_token_only_match,direct_brand_evidence_count,deceptive_host_embedding,content_spoof_strong,signal_hit_typo,signal_hit_domain,signal_hit_favicon,signal_hit_ssl_hash,signal_hit_html_hash,signal_hit_domain_hash,signal_hit_keywords,screenshot_path,html_title_text,visible_text_excerpt
Rajasthan,rajasthan.census.gov.in,https://rajasthan.census.gov.in,dns_twist_census.xlsx,86.3636,High,18.1818,strong_evidence,1.0,1.0,1.0,1.0,True,True,brand_token_match|jw_primary|token_set_primary|skeleton_similarity|host_similarity|hash_bypass,lexical,False,score_threshold|hash_bypass_hit|weak_direct_evidence|network_corroboration,,True,Assam,True,True,True,False,score_threshold|hash_bypass_hit|weak_direct_evidence|network_corroboration,score_threshold|hash_bypass_hit|weak_direct_evidence|network_corroboration,fetched,available,,,https://rajasthan.census.gov.in/,,,,86.3636,30.0,20.0,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,rajasthan.census.gov.in,,0,True,lexical_hit,1.0,0.75,anchor_typo,0.0,-1,0.5938,26,1.0,-1,1.0,-1,True,True,False,2,False,False,True,True,False,True,False,True,False,C:\Users\SATWIK\Documents\Phishing\phishing_pipeline\screens\census.gov.in.png,directorate of census operations rajasthan, directorate of census operations rajasthan    जनगणना-२०२७ परिपत्र (आर.जी.आई.)  जनगणना-२०२७ परिपत्र (डी.सी.ओ.)  राज्य सरकार द्वारा जारी निर्देश एवं आदेश जनगणना-२०२७  जनगणना 2027:केन्द्रीय सरकार की अधिसूचना  जनगणना 2027:राजस्थान सरकार की अधिसूचना
Assam,assam.census.gov.in,https://rajasthan.census.org,dns_twist_census.xlsx,68.1818,Medium,0.0,weak_evidence,1.0,1.0,1.0,1.0,True,True,brand_token_match|jw_primary|token_set_primary|skeleton_similarity,lexical,False,score_threshold|weak_direct_evidence|network_corroboration,,True,Assam,True,True,True,False,score_threshold|weak_direct_evidence|network_corroboration,score_threshold|weak_direct_evidence|network_corroboration,fetched,available,,,https://rajasthan.census.org/,,,,68.1818,30.0,0.0,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,rajasthan.census.org,,0,True,lexical_hit,1.0,0.75,anchor_typo,0.0,-1,0.4688,34,0.5781,27,0.7188,18,True,False,False,1,False,False,True,True,False,False,False,False,False,C:\Users\SATWIK\Documents\Phishing\phishing_pipeline\screens\census.org.png,,
"Civil Registration System, MHA (RGCCI)",crsorgi.gov.in,https://dc.crsorgi.gov.in,dns_twist_census.xlsx,100.0,High,13.6364,weak_evidence,1.0,1.0,1.0,1.0,True,True,brand_token_match|jw_primary|token_set_primary|skeleton_similarity,lexical,False,score_threshold|weak_direct_evidence|network_corroboration,,True,"Civil Registration System, MHA (RGCCI)",True,True,True,False,score_threshold|weak_direct_evidence|network_corroboration,score_threshold|weak_direct_evidence|network_corroboration,fetched,available,,,https://dc.crsorgi.gov.in/,,,,100.0,30.0,0.0,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,dc.crsorgi.gov.in,,0,True,lexical_hit,1.0,0.75,anchor_typo,0.0,-1,0.0,-1,0.0,-1,0.0,-1,True,False,False,4,False,False,True,True,False,False,False,False,False,C:\Users\SATWIK\Documents\Phishing\phishing_pipeline\screens\crsorgi.gov.in.png,civil registration system,civil registration system
TRAN,tran.census.gov.in,https://tran.census.gov.in,dns_twist_census.xlsx,86.3636,High,18.1818,strong_evidence,1.0,1.0,1.0,1.0,True,True,brand_token_match|jw_primary|token_set_primary|skeleton_similarity|host_similarity|hash_bypass,lexical,False,score_threshold|hash_bypass_hit|weak_direct_evidence|network_corroboration,,True,Assam,True,True,True,False,score_threshold|hash_bypass_hit|weak_direct_evidence|network_corroboration,score_threshold|hash_bypass_hit|weak_direct_evidence|network_corroboration,fetched,available,,,https://tran.census.gov.in/CDAC-EnhanceTransliterationAPI/index.html,,,,86.3636,30.0,20.0,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,tran.census.gov.in,,0,True,lexical_hit,1.0,0.75,anchor_typo,0.0,-1,0.5625,28,1.0,-1,1.0,-1,True,True,False,2,False,False,True,True,False,True,False,True,False,C:\Users\SATWIK\Documents\Phishing\phishing_pipeline\screens\census.gov.in.png,cdac transliteration : type indian language on web,cdac transliteration : type indian language on web c-dac : transliteration  type indian language on web designed and developed by c-dac gist. contact : 91-20-25503416/402 | info[dot]gist[at]cdac[dot]in | support[dot]gist[at]cdac[dot]in copyright © 2019 download help integrate indian language online typing
Assam,assam.census.gov.in,https://tran.census.org,dns_twist_census.xlsx,68.1818,Medium,0.0,weak_evidence,1.0,1.0,1.0,1.0,True,True,brand_token_match|jw_primary|token_set_primary|skeleton_similarity,lexical,False,score_threshold|weak_direct_evidence|network_corroboration,,True,Assam,True,True,True,False,score_threshold|weak_direct_evidence|network_corroboration,score_threshold|weak_direct_evidence|network_corroboration,fetched,available,,,https://tran.census.org/,,,,68.1818,30.0,0.0,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,tran.census.org,,0,True,lexical_hit,1.0,0.75,anchor_typo,0.0,-1,0.4688,34,0.6875,20,0.7188,18,True,False,False,1,False,False,True,True,False,False,False,False,False,C:\Users\SATWIK\Documents\Phishing\phishing_pipeline\screens\census.org.png,,
"Civil Registration System, MHA (RGCCI)",crsorgi.gov.in,https://dev.crsorgi.gov.in,dns_twist_census.xlsx,100.0,High,13.6364,weak_evidence,1.0,1.0,1.0,1.0,True,True,brand_token_match|jw_primary|token_set_primary|skeleton_similarity,lexical,False,score_threshold|weak_direct_evidence|network_corroboration,,True,"Civil Registration System, MHA (RGCCI)",True,True,True,False,score_threshold|weak_direct_evidence|network_corroboration,score_threshold|weak_direct_evidence|network_corroboration,fetched,available,,,https://dev.crsorgi.gov.in/,,,,100.0,30.0,0.0,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,dev.crsorgi.gov.in,,0,True,lexical_hit,1.0,0.75,anchor_typo,0.0,-1,0.0,-1,0.0,-1,0.0,-1,True,False,False,4,False,False,True,True,False,False,False,False,False,C:\Users\SATWIK\Documents\Phishing\phishing_pipeline\screens\crsorgi.gov.in.png,civil registration system,civil registration system
"Civil Registration System, MHA (RGCCI)",crsorgi.gov.in,https://dev.crsorgi.com,dns_twist_census.xlsx,100.0,High,31.8182,weak_evidence,1.0,1.0,1.0,1.0,True,True,brand_token_match|jw_primary|token_set_primary|skeleton_similarity,lexical,False,score_threshold|weak_direct_evidence|network_corroboration,,True,"Civil Registration System, MHA (RGCCI)",True,True,True,False,score_threshold|weak_direct_evidence|network_corroboration,score_threshold|weak_direct_evidence|network_corroboration,fetched,available,,,https://dev.crsorgi.com/,,,,100.0,30.0,0.0,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,dev.crsorgi.com,,0,True,lexical_hit,1.0,0.75,anchor_typo,0.0,-1,0.0,-1,0.0,-1,0.0,-1,True,False,False,1,False,False,True,True,False,False,False,False,False,C:\Users\SATWIK\Documents\Phishing\phishing_pipeline\screens\crsorgi.com.png,redirecting...,redirecting...
UAT BOOKS,uatbooks.census.gov.in,https://uatbooks.census.gov.in,dns_twist_census.xlsx,86.3636,High,18.1818,weak_evidence,1.0,1.0,1.0,1.0,True,True,brand_token_match|jw_primary|token_set_primary|skeleton_similarity|host_similarity,lexical,False,score_threshold|weak_direct_evidence|network_corroboration,,True,Assam,True,True,True,False,score_threshold|weak_direct_evidence|network_corroboration,score_threshold|weak_direct_evidence|network_corroboration,fetched,available,,,https://uatbooks.census.gov.in/,,,,86.3636,30.0,8.0,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,uatbooks.census.gov.in,,0,True,lexical_hit,1.0,0.75,anchor_typo,0.0,-1,0.4062,38,1.0,-1,0.0,-1,True,False,False,2,False,False,True,True,False,False,False,True,False,C:\Users\SATWIK\Documents\Phishing\phishing_pipeline\screens\census.gov.in.png,iis windows server,iis windows server
Assam,assam.census.gov.in,https://uatbooks.census.org,dns_twist_census.xlsx,68.1818,Medium,0.0,weak_evidence,1.0,1.0,1.0,1.0,True,True,brand_token_match|jw_primary|token_set_primary|skeleton_similarity,lexical,False,score_threshold|weak_direct_evidence|network_corroboration,,True,Assam,True,True,True,False,score_threshold|weak_direct_evidence|network_corroboration,score_threshold|weak_direct_evidence|network_corroboration,fetched,available,,,https://uatbooks.census.org/,,,,68.1818,30.0,0.0,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,uatbooks.census.org,,0,True,lexical_hit,1.0,0.75,anchor_typo,0.0,-1,0.4688,34,0.5781,27,0.7188,18,True,False,False,1,False,False,True,True,False,False,False,False,False,C:\Users\SATWIK\Documents\Phishing\phishing_pipeline\screens\census.org.png,,
Kerala,uatdco.census.gov.in,https://uatdco.census.gov.in,dns_twist_census.xlsx,98.7216,High,0.0,strong_evidence,1.0,1.0,1.0,1.0,True,True,brand_token_match|jw_primary|token_set_primary|skeleton_similarity|host_similarity|hash_bypass,lexical,False,score_threshold|hash_bypass_hit|weak_direct_evidence|network_corroboration,,True,Assam,True,True,True,False,score_threshold|hash_bypass_hit|weak_direct_evidence|network_corroboration,score_threshold|hash_bypass_hit|weak_direct_evidence|network_corroboration,fetched,available,,,https://uatdco.census.gov.in/,,,,98.7216,30.0,25.4375,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,uatdco.census.gov.in,,0,True,lexical_hit,1.0,0.75,anchor_typo,0.0,-1,0.9062,6,1.0,-1,1.0,-1,True,True,False,2,False,False,True,True,False,True,True,True,False,C:\Users\SATWIK\Documents\Phishing\phishing_pipeline\screens\census.gov.in.png,population by work status and age,population by work status and age orgi
