Cooresponding CSE,Legitimate Domains,ip_address,url_length,num_dots,has_repeated_digits,num_special_chars,num_hyphens,num_slashes,num_underscores,num_question_marks,num_equal_signs,num_dollar_signs,num_exclamations,num_hashtags,num_percent,domain_length,num_hyphens_domain,has_special_chars_domain,num_special_chars_domain,num_subdomains,avg_subdomain_length,subdomain_length,subdomain_has_hyphen,subdomain_has_repeated_digits,path_length,has_query,has_fragment,has_anchor,entropy_url,entropy_domain,ssl_present,ssl_valid,ssl_days_to_expiry,ssl_issuer,url,ocr_text,laplacian_variance,brand_colors,avg_color_diff,logo_hash,logo_match_score,favicon_detected,favicon_url,favicon_size,favicon_hash,favicon_colors
Airtel,airtel.in,52.20.84.62,19,1,False,4,0,2,0,0,0,0,0,0,0,11,0,False,0,0,0.0,0,False,False,0,False,False,False,3.0957952550009344,3.0957952550009344,1,1,66,Let's Encrypt,arratel.com,Fulkd DopcJlc,116.68995225694445,"[[254, 254, 254], [30, 30, 30], [130, 130, 130]]",-1.0,83070707070f1fff,-1,True,https://arratel.com/favicon.ico,-1,,[]
State Bank of India (SBI),onlinesbi.sbi,92.51.180.40,33,1,False,4,0,2,0,0,0,0,0,0,0,25,0,False,0,0,0.0,0,False,False,0,False,False,False,3.5434651896016462,3.5434651896016462,0,0,-1,,onlinehandelsregister.org,Fulkdbcr Jlo onlinatunXElcjuelcn,189.54626736111112,"[[254, 254, 254], [63, 63, 63], [157, 157, 157]]",-1.0,87070f0f0f0f0f1f,-1,False,,-1,,[]
Airtel,airtel.in,185.151.30.138,28,1,False,4,0,2,0,0,0,0,0,0,0,20,0,False,0,0,0.0,0,False,False,0,False,False,False,3.7841837197791888,3.7841837197791888,0,0,-1,,http://airbtechnologies.com,Fulkd DopcJlc Mbecnnea,164.35085720486111,"[[254, 254, 254], [142, 142, 142], [30, 30, 30]]",-1.0,870707070f0f1f3f,-1,True,http://airbtechnologies.com/favicon.ico,-1,,[]
State Bank of India (SBI),onlinesbi.sbi,76.223.54.146,22,1,False,4,0,2,0,0,0,0,0,0,0,14,0,False,0,0,0.0,0,False,False,0,False,False,False,3.09306920777189,3.09306920777189,1,1,164,"GoDaddy.com, Inc.",https://onlineless.com,"GoDaddy Excellent 4.6 cutof 5 K Trustpilot The domain name Ger this domeiin onlineless.com ' ' . ' . ' 1 :.d` ' | "" is for salel Ruy now HEmtealaro4orno Leae 1 UCZ[ '2e . : . secure fransacticns Fast 2a54 transiems Hassle free payments 4 .. .|. (. [ . ..: . ; .' Thc simplc_ and safc way domain namc No matier what kind domain Vouwvant buy = Mae make the transfer simple Need help? Give US 3 call 483 051 ' 41 und *tc Here"" how Motks GoDaddy coprlaht 2020 GoDacJy Cperat ng Company LLC Riints Resenco Co nolsha pettonacomalor RicteSAlE4o; buY",10414.831994357428,"[[253, 253, 253], [7, 23, 49], [89, 136, 139]]",-1.0,9570208acfcf9eaa,-1,False,,-1,,[]
State Bank of India (SBI),onlinesbi.sbi,,32,1,False,4,0,2,0,0,0,0,0,0,0,24,0,False,0,0,0.0,0,False,False,0,False,False,False,3.355388542207534,3.355388542207534,0,0,-1,,onlineshopinggiftss.info,Fulkdbcr Jla onlinaupnakzirb,185.56772352430556,"[[254, 254, 254], [155, 155, 155], [36, 36, 36]]",-1.0,87070f0f0f0f0f1f,-1,False,,-1,,[]
State Bank of India (SBI),sbi.co.in,156.226.38.84,18,1,False,4,0,2,0,0,0,0,0,0,0,10,0,False,0,0,0.0,0,False,False,0,False,False,False,3.121928094887362,3.121928094887362,0,0,-1,,snbing.com,Fulkd DCr Jlo Inurcon,122.17784288194444,"[[254, 254, 254], [36, 36, 36], [121, 121, 121]]",-1.0,83070707070f1fff,-1,False,,-1,,[]
State Bank of India (SBI),onlinesbi.sbi,104.21.12.85,31,1,False,4,0,2,0,0,0,0,0,0,0,23,0,False,0,0,0.0,0,False,False,0,False,False,False,3.795088586397732,3.795088586397732,1,1,56,Google Trust Services,onlinebrickhousegps.org,Fulkdbcr Jlo onlinablekhorzJnus,181.99831380208335,"[[254, 254, 254], [149, 149, 149], [41, 41, 41]]",-1.0,87070f0f0f0f0f1f,-1,False,,-1,,[]
State Bank of India (SBI),onlinesbi.sbi,172.67.171.141,20,1,False,4,0,2,0,0,0,0,0,0,0,12,0,False,0,0,0.0,0,False,False,0,False,False,False,2.8553885422075336,2.8553885422075336,1,1,56,Google Trust Services,onlieene.top,Fulkd DopcJlc,125.77459635416666,"[[254, 254, 254], [124, 124, 124], [38, 38, 38]]",-1.0,87070707070f1f7f,-1,False,,-1,,[]
Airtel,airtel.in,54.215.31.113,16,1,False,4,0,2,0,0,0,0,0,0,0,8,0,False,0,0,0.0,0,False,False,0,False,False,False,2.5,2.5,0,0,-1,,http://air.baby,Fulkdbcr Jlc Jilbub;,102.99927083333333,"[[254, 254, 254], [127, 127, 127], [30, 30, 30]]",-1.0,83030707070f3fff,-1,True,http://air.baby/favicon.ico,-1,,[]
State Bank of India (SBI),onlinesbi.sbi,13.248.169.48,27,1,False,4,0,2,0,0,0,0,0,0,0,19,0,False,0,0,0.0,0,False,False,0,False,False,False,3.787143960698138,3.787143960698138,1,1,164,"GoDaddy.com, Inc.",https://onlinebestgames.xyz,GoDaddy Excellent 4. 6 cutof 5 K Trustpilot The domain name aetelnnn 3 3tel onlinebestgames.xyz is for salel 3 3 ~ .nn Safe secure transucucns Fast CJsy transicrs Hassle free Daxments GoDaddy coprlaht 2026 Codert Cjetal 7C Compjri: LLC Riints Rerenco Co nolshar Fetton -omalon Rareealno,13237.866559846903,"[[254, 254, 254], [3, 19, 46], [139, 148, 152]]",-1.0,d2109de3e78dd292,-1,False,,-1,,[]
