Cooresponding CSE,Legitimate Domains,Identified Phishing/Suspected Domain Name
National Health Authority (NHA),nha.gov.in,enhaq.online
State Bank of India (SBI),corp.onlinesbi.sbi/corporate,onlineanvil.com
Computer Age Management Services Ltd. (CAMS),camsonline.com,crumbsonline.com
Election Commision of India (ECI),eci.gov.in,ecowin.info
National Informatics Centre (NIC),cloud.gov.in,cloverfunding.xyz
Vodafone Idea (VI),myvi.in,myasvi.com
National Informatics Centre (NIC),cloud.gov.in,cloud7-hookah.com
Jio,jio.com,jixnov.com
State Bank of India (SBI),corp.onlinesbi.sbi/corporate,onlineslotsempire.com
Computer Age Management Services Ltd. (CAMS),camsonline.com,scanline.club
Reserve Bank of India (RBI),rbi.org.in,orbis.channel
State Bank of India (SBI),corp.onlinesbi.sbi/corporate,onlinehg.com
Axis Bank,axis.bank.in,axisfab3d.ch
Indian Space Research Organisation (ISRO),sac.gov.in,spacex.vip
Election Commision of India (ECI),eci.gov.in,recia.app
State Bank of India (SBI),homeloans.sbi,homelogapp.com
National Informatics Centre (NIC),cloud.gov.in,cloudtalentbrief.com
National Informatics Centre (NIC),cloud.gov.in,cloudscopyhq.com
National Informatics Centre (NIC),cloud.gov.in,cloudaxon.com
Vodafone Idea (VI),myvi.in,mavi.network
National Health Authority (NHA),nha.gov.in,neghab.click
Airtel,airtel.in,airtv.io
Air India,airindia.com,aiperindia.com
IndusInd Bank,indusind.bank.in,industrie-decor.com
State Bank of India (SBI),corp.onlinesbi.sbi/corporate,online-resume.me
Indian Space Research Organisation (ISRO),sac.gov.in,space.sarl
National Informatics Centre (NIC),cloud.gov.in,cloudfactor.xyz
Indian Space Research Organisation (ISRO),sac.gov.in,edition-notebook.sa.com
State Bank of India (SBI),corp.onlinesbi.sbi/corporate,onlineainote.xyz
National Informatics Centre (NIC),cloud.gov.in,cloudscapeproperties.com
Axis Bank,axis.bank.in,axispacks.com
ICICI Bank,icici.bank.in,icicek.com
Vodafone Idea (VI),myvi.in,myvedicvibe.com
National Informatics Centre (NIC),cloud.gov.in,cloudchainhub.xyz
National Informatics Centre (NIC),cloud.gov.in,cloud-wmdhosting.com
State Bank of India (SBI),corp.onlinesbi.sbi/corporate,onlinecinema.xyz
Indian Oil Corporation Limited (IOCL),indianoilcgd.com,indicationlab.com
Indian Space Research Organisation (ISRO),sac.gov.in,stracu.com
Indian Oil Corporation Limited (IOCL),indianoilcgd.com,indiapia.com
Vodafone Idea (VI),myvi.in,myviasefurla.com
Kfintech,kfintech.com,fi-intech.com
Reserve Bank of India (RBI),rbi.org.in,runbix.com
State Bank of India (SBI),corp.onlinesbi.sbi/corporate,online-dtl.ru
Axis Bank,axis.bank.in,axistogelkita.com
All India Institute of Medical Sciences (AIIMS),aiims.edu,aiimpact.world
Axis Bank,axismf.com,axiomlife.xyz
State Bank of India (SBI),corp.onlinesbi.sbi/corporate,onlinestoreai.link
Reserve Bank of India (RBI),rebit.org.in,rebirth-faro.com
National Informatics Centre (NIC),cloud.gov.in,cloudopsbench.com
National Informatics Centre (NIC),cloud.gov.in,cloudeus.pro
Reserve Bank of India (RBI),rebit.org.in,reorbit.nl
National Informatics Centre (NIC),cloud.gov.in,cloudbyrevolutions.com
National Informatics Centre (NIC),cloud.gov.in,myclouddy.com
National Informatics Centre (NIC),cloud.gov.in,cloudcroftvillages.com
State Bank of India (SBI),sbilife.co.in,dsimlife.com
National Informatics Centre (NIC),cloud.gov.in,cloudrescue24.com
State Bank of India (SBI),homeloans.sbi,homesales.help
National Informatics Centre (NIC),cloud.gov.in,cloudsystems.gmbh
National Informatics Centre (NIC),cloud.gov.in,cloudoffice.site
State Bank of India (SBI),homeloans.sbi,home-liaison.store
Reserve Bank of India (RBI),rebit.org.in,reberth.com
Income Tax Department,incometax.gov.in,incomeinfinite.com
ICICI Bank,icicicareers.com,icecarvers.com
National Informatics Centre (NIC),cloud.gov.in,crmcloud.info
Vodafone Idea (VI),myvi.in,myviorashop.com
Reserve Bank of India (RBI),rbi.org.in,rbtxiq.com
State Bank of India (SBI),corp.onlinesbi.sbi/corporate,onlinecashflow.xyz
Reserve Bank of India (RBI),rbi.org.in,orbi.cool
Computer Age Management Services Ltd. (CAMS),camsonline.com,fmsonline.us
National Informatics Centre (NIC),cloud.gov.in,cloudconnects.xyz
