run_id,record_key,source_workbook,normalized_url,stage_name,attempt_index,worker_id,started_at,finished_at,duration_ms,status,error_type,error_message,retry_count,timeout_flag,fallback_taken
run_20260426T065038Z,c5ab56f1a5ec0d05954ee4f32b9f17fc613c6e09,sample.xlsx,https://airtelbox.com,dns_gate,1,dns-gate,2026-04-26T06:50:52+00:00,2026-04-26T06:50:52+00:00,0,registration_passthrough,dns_gate_no_answer,no A/AAAA answers for airtelbox.com,0,0,
run_20260426T065038Z,c5ab56f1a5ec0d05954ee4f32b9f17fc613c6e09,sample.xlsx,https://airtelbox.com,dns_gate,1,dns-gate,2026-04-26T06:52:49+00:00,2026-04-26T06:52:49+00:00,0,registration_passthrough,dns_gate_no_answer,no A/AAAA answers for airtelbox.com,0,0,
run_20260426T065038Z,03ad175ceefbf45245c023e72b0fc02c9f66d744,sample.xlsx,https://axis-grandhiraki.com,stage0,1,stage0-lexical,2026-04-26T06:50:49+00:00,2026-04-26T06:50:49+00:00,0,filtered_lexical_miss,,,0,0,
run_20260426T065038Z,0c8f5c7a209088522e00a2d76b6d1a3e309c75b4,sample.xlsx,https://axis-mobfintech.com,stage0,1,stage0-lexical,2026-04-26T06:50:49+00:00,2026-04-26T06:50:49+00:00,0,filtered_lexical_miss,,,0,0,
run_20260426T065038Z,1c9bf5528e8361f847c6dc896f2432432a6ab3c8,sample.xlsx,https://atmosonline.com,stage0,1,stage0-lexical,2026-04-26T06:50:49+00:00,2026-04-26T06:50:49+00:00,0,filtered_lexical_miss,,,0,0,
run_20260426T065038Z,734ad6de5ff0a71dd71c1fc7e589f5d65b38b8cb,sample.xlsx,https://16fintech.com,stage0,1,stage0-lexical,2026-04-26T06:50:49+00:00,2026-04-26T06:50:49+00:00,0,filtered_lexical_miss,,,0,0,
run_20260426T065038Z,b49e603a774a3a2f739a6cf316590ccfff1a10cb,sample.xlsx,https://axis-modelmgmt.com,stage0,1,stage0-lexical,2026-04-26T06:50:49+00:00,2026-04-26T06:50:49+00:00,0,filtered_lexical_miss,,,0,0,
run_20260426T065038Z,c5ab56f1a5ec0d05954ee4f32b9f17fc613c6e09,sample.xlsx,https://airtelbox.com,stage0,1,stage0-lexical,2026-04-26T06:50:49+00:00,2026-04-26T06:50:49+00:00,0,lexical_hit,,,0,0,
run_20260426T065038Z,db4233d5a864f4f48deaa73032120d094cf1b8b4,sample.xlsx,https://axis-fluxrad.com,stage0,1,stage0-lexical,2026-04-26T06:50:49+00:00,2026-04-26T06:50:49+00:00,0,filtered_lexical_miss,,,0,0,
run_20260426T065038Z,de84ed6b0ea83a2e608f71fc45ac301eb6cdb512,sample.xlsx,https://art-axis.art,stage0,1,stage0-lexical,2026-04-26T06:50:49+00:00,2026-04-26T06:50:49+00:00,0,filtered_lexical_miss,,,0,0,
run_20260426T065038Z,e222a22faccdb7d4c6a44d6b0e0ede9b80b27007,sample.xlsx,https://airtiz.net,stage0,1,stage0-lexical,2026-04-26T06:50:49+00:00,2026-04-26T06:50:49+00:00,0,filtered_lexical_miss,,,0,0,
run_20260426T065038Z,e4467d2d04c87c79b0757a0be3288f97391f735d,sample.xlsx,https://ajiraexpress.com,stage0,1,stage0-lexical,2026-04-26T06:50:49+00:00,2026-04-26T06:50:49+00:00,0,filtered_lexical_miss,,,0,0,
run_20260426T065038Z,03ad175ceefbf45245c023e72b0fc02c9f66d744,sample.xlsx,https://axis-grandhiraki.com,stage0,1,stage0-lexical,2026-04-26T06:52:46+00:00,2026-04-26T06:52:46+00:00,0,filtered_lexical_miss,,,0,0,
run_20260426T065038Z,0c8f5c7a209088522e00a2d76b6d1a3e309c75b4,sample.xlsx,https://axis-mobfintech.com,stage0,1,stage0-lexical,2026-04-26T06:52:46+00:00,2026-04-26T06:52:46+00:00,0,filtered_lexical_miss,,,0,0,
run_20260426T065038Z,1c9bf5528e8361f847c6dc896f2432432a6ab3c8,sample.xlsx,https://atmosonline.com,stage0,1,stage0-lexical,2026-04-26T06:52:46+00:00,2026-04-26T06:52:46+00:00,0,filtered_lexical_miss,,,0,0,
run_20260426T065038Z,734ad6de5ff0a71dd71c1fc7e589f5d65b38b8cb,sample.xlsx,https://16fintech.com,stage0,1,stage0-lexical,2026-04-26T06:52:46+00:00,2026-04-26T06:52:46+00:00,0,filtered_lexical_miss,,,0,0,
run_20260426T065038Z,b49e603a774a3a2f739a6cf316590ccfff1a10cb,sample.xlsx,https://axis-modelmgmt.com,stage0,1,stage0-lexical,2026-04-26T06:52:46+00:00,2026-04-26T06:52:46+00:00,0,filtered_lexical_miss,,,0,0,
run_20260426T065038Z,c5ab56f1a5ec0d05954ee4f32b9f17fc613c6e09,sample.xlsx,https://airtelbox.com,stage0,1,stage0-lexical,2026-04-26T06:52:46+00:00,2026-04-26T06:52:46+00:00,0,lexical_hit,,,0,0,
run_20260426T065038Z,db4233d5a864f4f48deaa73032120d094cf1b8b4,sample.xlsx,https://axis-fluxrad.com,stage0,1,stage0-lexical,2026-04-26T06:52:46+00:00,2026-04-26T06:52:46+00:00,0,filtered_lexical_miss,,,0,0,
run_20260426T065038Z,de84ed6b0ea83a2e608f71fc45ac301eb6cdb512,sample.xlsx,https://art-axis.art,stage0,1,stage0-lexical,2026-04-26T06:52:46+00:00,2026-04-26T06:52:46+00:00,0,filtered_lexical_miss,,,0,0,
run_20260426T065038Z,e222a22faccdb7d4c6a44d6b0e0ede9b80b27007,sample.xlsx,https://airtiz.net,stage0,1,stage0-lexical,2026-04-26T06:52:46+00:00,2026-04-26T06:52:46+00:00,0,filtered_lexical_miss,,,0,0,
run_20260426T065038Z,e4467d2d04c87c79b0757a0be3288f97391f735d,sample.xlsx,https://ajiraexpress.com,stage0,1,stage0-lexical,2026-04-26T06:52:46+00:00,2026-04-26T06:52:46+00:00,0,filtered_lexical_miss,,,0,0,
