url,source_workbook,shortlisted_cse,shortlisted_domain,fetch_status,final_landing_url,parking_provider,parking_reason,brand_model_top1,brand_model_confidence,domain_model_top1,domain_model_confidence,model_brand_agrees_with_shortlist,model_domain_agrees_with_shortlist,model_feature_status,model_input_error,model_usable,lexical_hit,brand_score,credential_score,infra_score,evasion_score,total_stage1_score,hard_trigger_hit,stage1_reasons,page_has_password_field,page_has_login_form,form_action_mismatch,csc_mention_count,redirect_count,final_domain,favicon_domain,html_bytes_read,escalate_to_hashing,escalate_reason
http://particularhands.com,PS-02_AIGR-S66270_NCIIPC_24_02_2026.xlsx,parivahan sewa,parivahan.gov.in,fetched,http://particularhands.com/,,,NA,0.0,NA,0.0,False,False,ok,,True,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,particularhands.com,,0,True,lexical_hit
https://indusinspection360.co.uk,PS-02_AIGR-S66270_NCIIPC_24_02_2026.xlsx,IndusInd Bank,indusind.bank.in,fetched,https://indusinspection360.co.uk/,,,NA,0.0,NA,0.0,False,False,ok,,True,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,indusinspection360.co.uk,,0,True,lexical_hit
https://guide-ai.ru,PS-02_AIGR-S66270_NCIIPC_24_02_2026.xlsx,"Unique Identification Authority of India (UIDAI)
",uidai.gov.in,fetched,https://guide-ai.ru/,,not_registered_domain,NA,0.0,Unknown,0.0,False,False,skipped_not_registered_domain,rdap_not_found,False,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,guide-ai.ru,,0,True,lexical_hit
https://ecqis.co,PS-02_AIGR-S66270_NCIIPC_24_02_2026.xlsx,Election Commision of India (ECI),eci.gov.in,fetched,https://107.149.110.92:25005/tzjhl.zg,,not_registered_domain,NA,0.0,Unknown,0.0,False,False,skipped_not_registered_domain,rdap_not_found,False,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,ecqis.co,,0,True,lexical_hit
https://pnkab8.shop,PS-02_AIGR-S66270_NCIIPC_24_02_2026.xlsx,Coal India,coalindiatenders.nic.in,fetched,https://pnkab8.shop/,,not_registered_domain,NA,0.0,Unknown,0.0,False,False,skipped_not_registered_domain,rdap_not_found,False,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,pnkab8.shop,,0,True,lexical_hit
https://ecithi.com,PS-02_AIGR-S66270_NCIIPC_24_02_2026.xlsx,Election Commision of India (ECI),eci.gov.in,fetched,https://ecithi.com/,,,NA,0.0,NA,0.0,False,False,ok,,True,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,ecithi.com,,0,True,lexical_hit
https://netprobio.com,PS-02_AIGR-S66270_NCIIPC_24_02_2026.xlsx,Punjab National Bank (PNB),netpnb.com,fetched,https://netprobio.com/,,,NA,0.0,NA,0.0,False,False,ok,,True,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,netprobio.com,,0,True,lexical_hit
https://buildaion.us,PS-02_AIGR-S66270_NCIIPC_24_02_2026.xlsx,"Unique Identification Authority of India (UIDAI)
",uidai.gov.in,fetched,https://aion.xyz/,,not_registered_domain,NA,0.0,Unknown,0.0,False,False,skipped_not_registered_domain,rdap_not_found,False,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,buildaion.us,,0,True,lexical_hit
https://jiqo.jp,PS-02_AIGR-S66270_NCIIPC_24_02_2026.xlsx,Jio,jio.com,fetched,https://jiqo.jp/,,not_registered_domain,NA,0.0,Unknown,0.0,False,False,skipped_not_registered_domain,rdap_not_found,False,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,jiqo.jp,,0,True,lexical_hit
https://iroris.jp,PS-02_AIGR-S66270_NCIIPC_24_02_2026.xlsx,Indian Railway Catering and Tourism Corporation (IRCTC),irctctourism.com,fetched,https://iroris.jp/,,not_registered_domain,NA,0.0,Unknown,0.0,False,False,skipped_not_registered_domain,rdap_not_found,False,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,iroris.jp,,0,True,lexical_hit
