input_position,input_url,normalized_url,exclusion_stage,reason,dns_status,dns_decision,fetch_status,final_landing_url,parking_provider,parking_reason,strict_lexical_hit,lexical_score_pass,fallback_rank_only,candidate_generation_reason
1,yktdeo.com,https://yktdeo.com,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,fetched,,,,False,False,True,fallback_top_k
2,kycedeoni.autos,https://kycedeoni.autos,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,fetched,,,,False,False,True,fallback_top_k
3,rjpnbv.com,https://rjpnbv.com,dns_gate,dns_rejected,no_records,rejected,,,,,False,False,True,fallback_top_k
4,vipslot.casino,https://vipslot.casino,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,fetched,,,,False,False,True,fallback_top_k
5,hometownsewickley.com,https://hometownsewickley.com,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,fetched,,,,False,False,True,fallback_top_k
6,192.168.1,https://192.168.1,dns_gate,dns_rejected,dns_error,rejected,,,,,False,False,True,fallback_top_k
7,snackduel.com,https://snackduel.com,dns_gate,dns_rejected,no_records,rejected,,,,,False,False,True,fallback_top_k
8,pnbindia-services.com,https://pnbindia-services.com,dns_gate,dns_rejected,dns_error,rejected,,,,,True,True,False,brand_token_match|jw_primary
9,sbi.com-kyc.net/login,https://sbi.com-kyc.net/login,dns_gate,dns_rejected,dns_error,rejected,,,,,True,False,False,brand_token_match
10,pornxmodel.click,https://pornxmodel.click,dns_gate,dns_rejected,resolver_error,rejected,,,,,False,False,True,fallback_top_k
11,my-auth23948.com,https://my-auth23948.com,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,fetched,,,,False,False,True,fallback_top_k
12,syxtherocrex.world,https://syxtherocrex.world,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,resolved,accepted,fetched,,,,False,False,True,fallback_top_k
13,pnbindia-kyd.com,https://pnbindia-kyd.com,dns_gate,dns_rejected,dns_error,rejected,,,,,True,True,False,brand_token_match|jw_primary
15,enerzyph.com,https://enerzyph.com,dns_gate,dns_rejected,no_records,rejected,,,,,False,False,True,fallback_top_k
