input_position,input_url,normalized_url,source_workbook,exclusion_stage,reason,survival_path,drop_path,dns_status,dns_decision,fetch_status,visual_status,fetch_error_type,fetch_error_detail,final_landing_url,parking_provider,parking_reason,placeholder_or_parking_reason,admitted_to_holdout,kept_for_review_only,review_only_reason,strict_lexical_hit,lexical_score_pass,fallback_rank_only,candidate_generation_reason,best_matching_domain,generic_token_only_match,lexical_hit,brand_score,credential_score,infra_score,evasion_score,total_stage1_score,hard_trigger_hit,stage1_reasons,page_has_password_field,page_has_login_form,form_action_mismatch,csc_mention_count,redirect_count,final_domain,favicon_domain,html_bytes_read,escalate_to_hashing,escalate_reason,stage1_passthrough
1,airtel-merchants.club,https://airtel-merchants.club,AIGR-S66270_Ground_Truth.xlsx|urls.xlsx,dns_gate,dns_rejected,,dns_rejected,no_records,rejected,,not_attempted,,,,,,,False,False,,True,True,False,brand_token_match|jw_primary,airtelpayments.bank.in,False,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,airtel-merchants.club,,0,True,lexical_hit,False
2,ai-phishing-detection.s3.ap-south-1.amazonaws.com/sbi_1.html,https://ai-phishing-detection.s3.ap-south-1.amazonaws.com/sbi_1.html,AIGR-S66270_Ground_Truth.xlsx,stage1_http,stage1_suspected_non_escalated,,stage1_suspected_non_escalated,skipped,skipped,fetched,not_attempted,,,https://ai-phishing-detection.s3.ap-south-1.amazonaws.com/sbi_1.html,,,,False,False,,False,False,True,fallback_top_k,corp.onlinesbi.sbi,False,False,32,4,0,0,36,False,title_brand_match|body_brand_match|redirect_brand_match|auth_wording,False,False,False,4,0,ai-phishing-detection.s3.ap-south-1.amazonaws.com,,7045,False,stage1_suspected_non_escalated,False
3,ai-phishing-detection.s3.ap-south-1.amazonaws.com/sbi_bank.html,https://ai-phishing-detection.s3.ap-south-1.amazonaws.com/sbi_bank.html,AIGR-S66270_Ground_Truth.xlsx,stage1_http,stage1_suspected_non_escalated,,stage1_suspected_non_escalated,skipped,skipped,fetched,not_attempted,,,https://ai-phishing-detection.s3.ap-south-1.amazonaws.com/sbi_bank.html,,,,False,False,,False,False,True,fallback_top_k,corp.onlinesbi.sbi,False,False,32,4,0,0,36,False,title_brand_match|body_brand_match|redirect_brand_match|auth_wording,False,False,False,4,0,ai-phishing-detection.s3.ap-south-1.amazonaws.com,,3596,False,stage1_suspected_non_escalated,False
4,airtele.xyz,https://airtele.xyz,AIGR-S66270_Ground_Truth.xlsx|urls.xlsx,dns_gate,dns_rejected,,dns_rejected,dns_error,rejected,,not_attempted,,,,,,,False,False,,True,True,False,jw_primary|token_set_primary|skeleton_similarity|host_similarity,airtel.in,False,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,airtele.xyz,,0,True,lexical_hit,False
5,paarivahan.com,https://paarivahan.com,AIGR-S66270_Ground_Truth.xlsx|urls.xlsx,dns_gate,dns_rejected,,dns_rejected,dns_error,rejected,,not_attempted,,,,,,,False,False,,True,True,False,jw_primary|token_set_primary|skeleton_similarity|host_similarity,parivahan.gov.in,False,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,paarivahan.com,,0,True,lexical_hit,False
6,airtell.ai,https://airtell.ai,AIGR-S66270_Ground_Truth.xlsx|urls.xlsx,hashing_shortlist,fetch_timeout_or_fetch_failed,,fetch_timeout_or_fetch_failed,resolved,accepted,failed,not_attempted,navigation_transient_browser_error,Page.content: Unable to retrieve content because the page is navigating and changing the content.,,,,,False,False,,True,True,False,jw_primary|token_set_primary|skeleton_similarity|host_similarity,airtel.in,False,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,airtell.ai,,0,True,lexical_hit,False
7,axisupi.com,https://axisupi.com,AIGR-S66270_Ground_Truth.xlsx|urls.xlsx,hashing_shortlist,fetch_timeout_or_fetch_failed,,fetch_timeout_or_fetch_failed,resolved,accepted,timeout,not_attempted,navigation_timeout,"Page.goto: Timeout 15000ms exceeded. | Call log: - navigating to ""https://axisupi.com/"", waiting until ""domcontentloaded""",,,,,False,False,,True,True,False,jw_primary,axis.bank.in,False,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,axisupi.com,,0,True,lexical_hit,False
9,sbireward.com,https://sbireward.com,AIGR-S66270_Ground_Truth.xlsx|urls.xlsx,dns_gate,dns_rejected,,dns_rejected,dns_error,rejected,,not_attempted,,,,,,,False,False,,True,True,False,jw_primary,sbicard.com,False,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,sbireward.com,,0,True,lexical_hit,False
10,satwik.com,https://satwik.com,AIGR-S66270_Ground_Truth.xlsx,stage1_http,stage1_low_suspicion,,stage1_low_suspicion,skipped,skipped,fetched,not_attempted,,,https://satwik.com,,,,False,False,,False,False,True,fallback_top_k,sbi.co.in,False,False,0,0,6,0,6,False,suspicious_hosting_provider,False,False,False,0,0,satwik.com,,5048,False,stage1_low_suspicion,False
11,torana.com,https://torana.com,AIGR-S66270_Ground_Truth.xlsx,dns_gate,dns_rejected,,dns_rejected,no_records,rejected,failed,not_attempted,get_error,[Errno 11001] getaddrinfo failed,,,,,False,False,,False,False,True,fallback_top_k,coalindiatenders.nic.in,False,False,0,0,0,0,0,False,stage1_fetch_failed,False,False,False,0,0,,,0,True,route_to_dns_after_stage1_failure,False
