input_position,input_url,normalized_url,source_workbook,exclusion_stage,reason,survival_path,drop_path,dns_status,dns_decision,fetch_status,visual_status,fetch_error_type,fetch_error_detail,final_landing_url,parking_provider,parking_reason,placeholder_or_parking_reason,admitted_to_holdout,kept_for_review_only,review_only_reason,strict_lexical_hit,lexical_score_pass,fallback_rank_only,candidate_generation_reason,best_matching_domain,generic_token_only_match,lexical_hit,brand_score,credential_score,infra_score,evasion_score,total_stage1_score,hard_trigger_hit,stage1_reasons,page_has_password_field,page_has_login_form,form_action_mismatch,csc_mention_count,redirect_count,final_domain,favicon_domain,html_bytes_read,escalate_to_hashing,escalate_reason,stage1_passthrough
1,j1icoy.makeup,https://j1icoy.makeup,PS-02_AIGR-S66270_NCIIPC_24_02_2026.xlsx,dns_gate,dns_rejected,,dns_rejected,no_records,rejected,,not_attempted,,,,,,,False,False,,True,True,False,jw_primary,jio.com,False,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,j1icoy.makeup,,0,True,lexical_hit,False
2,https://mrbim.ca,https://mrbim.ca,PS-02_AIGR-S66270_NCIIPC_24_02_2026.xlsx,hashing_shortlist,fetch_timeout_or_fetch_failed,,fetch_timeout_or_fetch_failed,resolved,accepted,failed,not_attempted,navigation_transient_browser_error,Page.content: Unable to retrieve content because the page is navigating and changing the content.,,,,,False,False,,True,True,False,jw_primary,rbi.org.in,False,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,mrbim.ca,,0,True,lexical_hit,False
3,https://sacmap.art,https://sacmap.art,PS-02_AIGR-S66270_NCIIPC_24_02_2026.xlsx,stage1_http,stage1_suspected_non_escalated,,stage1_suspected_non_escalated,skipped,skipped,fetched,not_attempted,,,https://sacmap.art,,,,False,False,,False,False,True,fallback_top_k,indiascienceandtechnology.gov.in,False,False,36,0,0,0,36,False,title_brand_match|body_brand_match|redirect_brand_match|final_domain_brand_match,False,False,False,1,0,sacmap.art,,865,False,stage1_suspected_non_escalated,False
4,cloudars.com,https://cloudars.com,PS-02_AIGR-S66270_NCIIPC_24_02_2026.xlsx,stage1_http,stage1_low_suspicion,,stage1_low_suspicion,skipped,skipped,fetched,not_attempted,,,https://www.cloudars.com/,,,,False,False,,False,False,True,fallback_top_k|generic_token_only,accounts.mgovcloud.in,True,False,4,0,0,0,4,False,favicon_brand_match,False,False,False,1,1,www.cloudars.com,www.cloudars.com,32768,False,stage1_low_suspicion,False
5,https://cloudforgesystems.com,https://cloudforgesystems.com,PS-02_AIGR-S66270_NCIIPC_24_02_2026.xlsx,stage1_http,stage1_low_suspicion,,stage1_low_suspicion,skipped,skipped,fetched,not_attempted,,,https://cloudforgesystems.com,,,,False,False,,False,False,True,fallback_top_k|generic_token_only,cloud.gov.in,True,False,0,0,0,0,0,False,,False,False,False,0,0,cloudforgesystems.com,cloudforgesystems.com,1430,False,stage1_low_suspicion,False
6,onlinestore.click,https://onlinestore.click,PS-02_AIGR-S66270_NCIIPC_24_02_2026.xlsx,dns_gate,dns_rejected,,dns_rejected,no_records,rejected,,not_attempted,,,,,,,False,False,,True,True,False,jw_primary,corp.onlinesbi.sbi,False,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,onlinestore.click,,0,True,lexical_hit,False
8,https://isos.shop,https://isos.shop,PS-02_AIGR-S66270_NCIIPC_24_02_2026.xlsx,stage1_http,stage1_low_suspicion,,stage1_low_suspicion,skipped,skipped,fetched,not_attempted,,,https://isos.shop,,,,False,False,,False,False,True,fallback_top_k,jio.com,False,False,0,0,0,6,6,False,js_redirect,False,False,False,0,0,isos.shop,,114,False,stage1_low_suspicion,False
9,https://isharora.space,https://isharora.space,PS-02_AIGR-S66270_NCIIPC_24_02_2026.xlsx,stage1_http,stage1_low_suspicion,,stage1_low_suspicion,skipped,skipped,fetched,not_attempted,,,https://www.isharora.space/,,,,False,False,,False,False,True,fallback_top_k,jio.com,False,False,0,0,0,0,0,False,,False,False,False,0,1,www.isharora.space,,243,False,stage1_low_suspicion,False
11,ptntbq.makeup,https://ptntbq.makeup,PS-02_AIGR-S66270_NCIIPC_24_02_2026.xlsx,dns_gate,dns_rejected,,dns_rejected,dns_error,rejected,,not_attempted,,,,,,,False,False,,True,True,False,jw_primary,pnb.bank.in,False,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,ptntbq.makeup,,0,True,lexical_hit,False
12,rebuydigital.com,https://rebuydigital.com,PS-02_AIGR-S66270_NCIIPC_24_02_2026.xlsx,stage1_http,stage1_low_suspicion,,stage1_low_suspicion,skipped,skipped,fetched,not_attempted,,,https://rebuydigital.com,,,,False,False,,False,False,True,fallback_top_k,rbi.org.in,False,False,0,0,0,0,0,False,,False,False,False,0,0,rebuydigital.com,img1.wsimg.com,32768,False,stage1_low_suspicion,False
