input_position,input_url,normalized_url,dns_status,dns_decision,fetch_status,admitted,exclusion_stage,reason,old_fuzzy_hit,old_fuzzy_cse,hybrid_lexical_hit,strict_lexical_hit,lexical_score_pass,fallback_rank_only,admission_reason,admission_path,candidate_generation_reason,best_entity,best_score,confidence_band,lexical_score,clip_similarity,typo_similarity,domain_component,clip_component,hash_component
1,pnbindia-services.com,https://pnbindia-services.com,dns_error,rejected,,False,dns_gate,dns_rejected,True,Punjab National Bank (PNB),True,True,True,False,,,brand_token_match|jw_primary,Punjab National Bank (PNB),0.0,,0.8941,0.0,0.64,0.0,0.0,0.0
2,8740i4ji8ki.shop,https://8740i4ji8ki.shop,no_records,rejected,,False,dns_gate,dns_rejected,False,,False,False,False,True,,,fallback_top_k,Reserve Bank of India (RBI),0.0,,0.6162,0.0,0.2857,0.0,0.0,0.0
3,chargemoment.com,https://chargemoment.com,resolved,accepted,fetched,False,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,False,,False,False,False,True,,,fallback_top_k,Computer Age Management Services Ltd. (CAMS),30.2717,Low,0.5889,0.7265,0.4845,17.6667,14.5304,0.0
4,inwestonauci.pl,https://inwestonauci.pl,resolved,accepted,fetched,False,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,False,,False,False,False,True,,,fallback_top_k,Kfintech,39.7504,Low,0.6139,0.9143,0.4,18.4167,18.2852,0.0
5,domain,https://domain,dns_error,rejected,,False,dns_gate,dns_rejected,False,,False,False,False,True,,,fallback_top_k,National Informatics Centre (NIC),0.0,,0.75,0.0,0.6,0.0,0.0,0.0
6,creditrepair-help.com,https://creditrepair-help.com,timeout,rejected,,False,dns_gate,dns_rejected,False,,False,False,False,True,,,fallback_top_k,Election Commision of India (ECI),0.0,,0.6144,0.0,0.2,0.0,0.0,0.0
7,aetyk.cc,https://aetyk.cc,resolved,accepted,fetched,False,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,False,,False,False,False,True,,,fallback_top_k,Election Commision of India (ECI),51.9794,Low,0.5111,0.8837,0.25,15.3333,17.673,0.0
8,thinkproguard.com,https://thinkproguard.com,resolved,accepted,fetched,False,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,False,,False,False,False,True,,,fallback_top_k,Indian Railway Catering and Tourism Corporation (IRCTC),34.0756,Low,0.5983,0.5793,0.43,17.9487,11.5857,0.0
9,thelocksmithcrew.com,https://thelocksmithcrew.com,timeout,rejected,,False,dns_gate,dns_rejected,False,,False,False,False,True,,,fallback_top_k,Election Commision of India (ECI),0.0,,0.7292,0.0,0.3158,0.0,0.0,0.0
10,socioone.com,https://socioone.com,resolved,accepted,fetched,False,hashing_shortlist,not_admitted_after_lexical_and_hash_checks,False,,False,False,False,True,,,fallback_top_k,Computer Age Management Services Ltd. (CAMS),37.3399,Low,0.6722,0.6348,0.5856,20.1667,12.6956,0.0
11,sbi.com-kyc.net/login,https://sbi.com-kyc.net/login,dns_error,rejected,,False,dns_gate,dns_rejected,False,,True,True,False,False,,,brand_token_match,State Bank of India (SBI),0.0,,0.5026,0.0,0.25,0.0,0.0,0.0
12,sbireward.com,https://sbireward.com,dns_error,rejected,,False,dns_gate,dns_rejected,True,State Bank of India (SBI),True,True,True,False,,,jw_primary,State Bank of India (SBI),0.0,,0.85,0.0,0.78,0.0,0.0,0.0
