run_id,record_key,source_workbook,raw_url,normalized_url,current_stage,stage_status,stage_error_type,stage_error_message,retry_count,timeout_hit,skipped_due_to_previous_failure,fallback_taken,worker_id,stage_started_at,stage_finished_at,duration_ms,stage0_status,stage1_status,dns_stage_status,hash_stage_status,classify_stage_status,final_pipeline_status,final_decision,failure_reason,processing_time_ms,submission_record_json,last_updated_at
run_20260406T114645Z,4c6746f0dda2b5bc91526d93f43c767d1f8e1e49,urls.xlsx,192.168.1,https://192.168.1,hash,dns_rejected,,,0,0,0,,,,,0,pending,pending,pending,dns_rejected,pending,dns_rejected,,dns_rejected,0,,2026-04-06T12:00:24+00:00
run_20260406T114645Z,d9c1e788511bd4cb53f3fdc6cd3c70da14444ec1,urls.xlsx,519zx.top,https://519zx.top,hash,filtered,,,0,0,0,,,,,0,pending,pending,pending,filtered,pending,filtered_lexical_miss,,stage1_low_suspicion,0,,2026-04-06T12:00:24+00:00
run_20260406T114645Z,3dd2e1c3d99bf337715db31da448b3fcb3d5f967,urls.xlsx,5500betsk.com,https://5500betsk.com,hash,filtered,,,0,0,0,,,,,0,pending,pending,pending,filtered,pending,filtered_lexical_miss,,stage1_low_suspicion,0,,2026-04-06T12:00:24+00:00
run_20260406T114645Z,9322b91f83265e2f72bbf6999ce6e47bb63e9427,urls.xlsx,5ggnp.buzz,https://5ggnp.buzz,hash,filtered,,,0,0,0,,,,,0,pending,pending,pending,filtered,pending,filtered_lexical_miss,,stage1_low_suspicion,0,,2026-04-06T12:00:24+00:00
run_20260406T114645Z,708b11b6d24e596f0c978bdeaf2c740d93fcb0e0,urls.xlsx,71042.vip,https://71042.vip,hash,filtered,,,0,0,0,,,,,0,pending,pending,pending,filtered,pending,filtered_lexical_miss,,stage1_low_suspicion,0,,2026-04-06T12:00:24+00:00
run_20260406T114645Z,74d9646fd86f00c19216b7f07cb35cb691afc950,urls.xlsx,777gvipclub.com,https://777gvipclub.com,hash,filtered,,,0,0,0,,,,,0,pending,pending,pending,filtered,pending,filtered_lexical_miss,,stage1_low_suspicion,0,,2026-04-06T12:00:24+00:00
run_20260406T114645Z,777cc5e6c95dca0616789b79b4a7a71ebaa612e5,urls.xlsx,786786786786.com,https://786786786786.com,hash,dns_rejected,,,0,0,0,,,,,0,pending,pending,pending,dns_rejected,pending,dns_rejected,,dns_rejected,0,,2026-04-06T12:00:24+00:00
run_20260406T114645Z,d1c98aa1d3cb6a7efe6547c55bb8d2aa961b8414,urls.xlsx,8740i4ji8ki.shop,https://8740i4ji8ki.shop,hash,filtered,,,0,0,0,,,,,0,pending,pending,pending,filtered,pending,filtered_lexical_miss,,stage1_low_suspicion,0,,2026-04-06T12:00:24+00:00
run_20260406T114645Z,521731e3c13b3491b2476b2afe62d25d102aa1f3,urls.xlsx,8eight.com.tw,https://8eight.com.tw,hash,fetch_failed,,,0,0,0,,,,,0,pending,pending,pending,fetch_failed,pending,hash_failed,,fetch_timeout_or_fetch_failed,0,,2026-04-06T12:00:24+00:00
run_20260406T114645Z,32236d27ce2adcbecb1e34fafaf7c5027db81eb1,urls.xlsx,94498.qpon,https://94498.qpon,hash,filtered,,,0,0,0,,,,,0,pending,pending,pending,filtered,pending,filtered_lexical_miss,,stage1_low_suspicion,0,,2026-04-06T12:00:24+00:00
run_20260406T114645Z,4afd478a121cf380022cfd10aca01e32b8147f5e,urls.xlsx,abfquoelx.com,https://abfquoelx.com,hash,dns_rejected,,,0,0,0,,,,,0,pending,pending,pending,dns_rejected,pending,dns_rejected,,dns_rejected,0,,2026-04-06T12:00:24+00:00
run_20260406T114645Z,6c64bf0e74ec79ba4213dff09a86ea9159596d73,urls.xlsx,abx5n1n7.cc,https://abx5n1n7.cc,hash,filtered,,,0,0,0,,,,,0,pending,pending,pending,filtered,pending,filtered_lexical_miss,,stage1_low_suspicion,0,,2026-04-06T12:00:24+00:00
