url,source_workbook,shortlisted_cse,shortlisted_domain,fetch_status,final_landing_url,parking_provider,parking_reason,placeholder_or_parking_reason,classification,confidence_band,evidence_tier,lexical_score,hash_score,old_fuzzy_hit,hybrid_lexical_hit,strict_lexical_hit,lexical_score_pass,fallback_rank_only,typo_anchor,hash_anchor,clip_anchor,generic_token_only_match,direct_brand_evidence_count,clip_corroborated,stage1_passthrough,tvc_brand_detected,tvc_detected_brand,tvc_brand_spoofed,tvc_match_surface,tvc_matched_alias,tvc_spoof_strong,ocr_text_len,registrar,hosting_isp,hosting_country,dns_records,brand_model_top1,brand_model_confidence,domain_model_top1,domain_model_confidence,model_brand_agrees_with_shortlist,model_domain_agrees_with_shortlist,model_feature_status,model_input_error,model_usable,classification_gate_reason,review_only_reason,survival_path,drop_path,non_lexical_corroboration_count,lexical_hit,brand_score,credential_score,infra_score,evasion_score,total_stage1_score,hard_trigger_hit,stage1_reasons,page_has_password_field,page_has_login_form,form_action_mismatch,csc_mention_count,redirect_count,final_domain,favicon_domain,html_bytes_read,escalate_to_hashing,escalate_reason
http://particularhands.com,PS-02_AIGR-S66270_NCIIPC_24_02_2026.xlsx,parivahan sewa,parivahan.gov.in,fetched,http://particularhands.com/,,,,Legitimate,Low,weak_evidence,0.8652,58.9899,True,True,True,True,False,False,False,False,False,0,False,False,False,none,False,none,,False,186,IONOS SE,IONOS SE,US,A:74.208.236.68;NS:ns1103.ui-dns.org.;NS:ns1031.ui-dns.biz.;NS:ns1109.ui-dns.de.;NS:ns1049.ui-dns.com.;MX:10 mx00.ionos.com.;MX:10 mx01.ionos.com.,NA,0.0,NA,0.0,False,False,ok,,True,lexical_without_direct_evidence,,lexical_without_direct_evidence,,0,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,particularhands.com,,0,True,lexical_hit
https://indusinspection360.co.uk,PS-02_AIGR-S66270_NCIIPC_24_02_2026.xlsx,IndusInd Bank,indusind.bank.in,fetched,https://indusinspection360.co.uk/,,,,Legitimate,Low,weak_evidence,0.8528,58.1439,True,True,True,True,False,False,False,False,False,0,False,False,False,none,False,none,,False,89,"Namecheap, Inc.",NAMECHEAP-NET,US,A:68.65.122.84;NS:dns2.namecheaphosting.com.;NS:dns1.namecheaphosting.com.;MX:5 mx1-hosting.jellyfish.systems.;MX:10 mx2-hosting.jellyfish.systems.;MX:20 mx3-hosting.jellyfish.systems.,NA,0.0,NA,0.0,False,False,ok,,True,lexical_without_direct_evidence,,lexical_without_direct_evidence,,0,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,indusinspection360.co.uk,,0,True,lexical_hit
https://guide-ai.ru,PS-02_AIGR-S66270_NCIIPC_24_02_2026.xlsx,"Unique Identification Authority of India (UIDAI)
",uidai.gov.in,fetched,https://guide-ai.ru/,,not_registered_domain,not_registered_domain,SKIPPED_PARKING_OR_PLACEHOLDER,Low,weak_evidence,0.875,59.6591,True,True,True,True,False,True,False,False,False,0,False,False,False,none,False,none,,False,0,NA,NA,NA,NA,NA,0.0,Unknown,0.0,False,False,skipped_not_registered_domain,rdap_not_found,False,not_registered_domain_excluded,not_registered_domain,,not_registered_domain_excluded,0,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,guide-ai.ru,,0,True,lexical_hit
https://ecqis.co,PS-02_AIGR-S66270_NCIIPC_24_02_2026.xlsx,Election Commision of India (ECI),eci.gov.in,fetched,https://107.149.110.92:25005/tzjhl.zg,,not_registered_domain,not_registered_domain,SKIPPED_PARKING_OR_PLACEHOLDER,Low,weak_evidence,0.8933,60.9091,True,True,True,True,False,True,False,False,False,0,False,False,False,none,False,none,,False,0,NA,NA,NA,NA,NA,0.0,Unknown,0.0,False,False,skipped_not_registered_domain,rdap_not_found,False,not_registered_domain_excluded,not_registered_domain,,not_registered_domain_excluded,0,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,ecqis.co,,0,True,lexical_hit
https://pnkab8.shop,PS-02_AIGR-S66270_NCIIPC_24_02_2026.xlsx,Coal India,coalindiatenders.nic.in,fetched,https://pnkab8.shop/,,not_registered_domain,not_registered_domain,SKIPPED_PARKING_OR_PLACEHOLDER,Low,weak_evidence,0.3194,50.0,True,False,True,True,False,False,True,False,False,0,False,False,False,none,False,none,,False,0,NA,NA,NA,NA,NA,0.0,Unknown,0.0,False,False,skipped_not_registered_domain,rdap_not_found,False,not_registered_domain_excluded,not_registered_domain,,not_registered_domain_excluded,0,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,pnkab8.shop,,0,True,lexical_hit
https://ecithi.com,PS-02_AIGR-S66270_NCIIPC_24_02_2026.xlsx,Election Commision of India (ECI),eci.gov.in,fetched,https://ecithi.com/,,,,Legitimate,Low,weak_evidence,0.8833,60.2273,True,True,True,True,False,False,False,False,False,0,False,False,True,nic,False,ocr_header_footer,mail,False,21,"NameCheap, Inc.",EXONHOST,BD,A:103.159.37.38;NS:bdns2.exonhost.com.;NS:bdns1.exonhost.com.;MX:0 ecithi.com.,NA,0.0,NA,0.0,False,False,ok,,True,lexical_without_direct_evidence,,lexical_without_direct_evidence,,0,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,ecithi.com,,0,True,lexical_hit
https://netprobio.com,PS-02_AIGR-S66270_NCIIPC_24_02_2026.xlsx,Punjab National Bank (PNB),netpnb.com,fetched,https://netprobio.com/,,,,Legitimate,Low,weak_evidence,0.8778,59.8485,True,True,True,True,False,False,False,False,False,0,False,False,False,none,False,none,,False,13,One.com A/S,One.com A/S,DK,A:46.30.211.38;NS:ns02.one.com.;NS:ns01.one.com.;MX:0 .,NA,0.0,NA,0.0,False,False,ok,,True,lexical_without_direct_evidence,,lexical_without_direct_evidence,,0,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,netprobio.com,,0,True,lexical_hit
https://buildaion.us,PS-02_AIGR-S66270_NCIIPC_24_02_2026.xlsx,"Unique Identification Authority of India (UIDAI)
",uidai.gov.in,fetched,https://aion.xyz/,,not_registered_domain,not_registered_domain,SKIPPED_PARKING_OR_PLACEHOLDER,Low,weak_evidence,0.8519,58.0808,True,True,True,True,False,False,False,False,False,0,False,False,False,none,False,none,,False,0,NA,NA,NA,NA,NA,0.0,Unknown,0.0,False,False,skipped_not_registered_domain,rdap_not_found,False,not_registered_domain_excluded,not_registered_domain,,not_registered_domain_excluded,0,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,buildaion.us,,0,True,lexical_hit
https://jiqo.jp,PS-02_AIGR-S66270_NCIIPC_24_02_2026.xlsx,Jio,jio.com,fetched,https://jiqo.jp/,,not_registered_domain,not_registered_domain,SKIPPED_PARKING_OR_PLACEHOLDER,Low,weak_evidence,0.9333,63.6364,True,True,True,True,False,True,False,False,False,0,False,False,False,none,False,none,,False,0,NA,NA,NA,NA,NA,0.0,Unknown,0.0,False,False,skipped_not_registered_domain,rdap_not_found,False,not_registered_domain_excluded,not_registered_domain,,not_registered_domain_excluded,0,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,jiqo.jp,,0,True,lexical_hit
https://iroris.jp,PS-02_AIGR-S66270_NCIIPC_24_02_2026.xlsx,Indian Railway Catering and Tourism Corporation (IRCTC),irctctourism.com,fetched,https://iroris.jp/,,not_registered_domain,not_registered_domain,SKIPPED_PARKING_OR_PLACEHOLDER,Low,weak_evidence,0.8667,59.0909,True,True,True,True,False,False,False,False,False,0,False,False,False,none,False,none,,False,0,NA,NA,NA,NA,NA,0.0,Unknown,0.0,False,False,skipped_not_registered_domain,rdap_not_found,False,not_registered_domain_excluded,not_registered_domain,,not_registered_domain_excluded,0,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,iroris.jp,,0,True,lexical_hit
