Cooresponding CSE,Legitimate Domains,Identified Phishing/Suspected Domain Name
National Health Authority (NHA),nha.gov.in,enhaq.online
State Bank of India (SBI),homeloans.sbi,homecorelivings.com
State Bank of India (SBI),corp.onlinesbi.sbi/corporate,onlineanvil.com
Computer Age Management Services Ltd. (CAMS),camsonline.com,crumbsonline.com
Election Commision of India (ECI),eci.gov.in,ecowin.info
State Bank of India (SBI),homeloans.sbi,homesforlong.com
National Informatics Centre (NIC),cloud.gov.in,cloverfunding.xyz
Vodafone Idea (VI),myvi.in,myasvi.com
National Informatics Centre (NIC),cloud.gov.in,cloud7-hookah.com
Reserve Bank of India (RBI),rebit.org.in,rebelsinstereo.com
Jio,jio.com,jixnov.com
State Bank of India (SBI),corp.onlinesbi.sbi/corporate,onlineslotsempire.com
Computer Age Management Services Ltd. (CAMS),camsonline.com,scanline.club
Reserve Bank of India (RBI),rbi.org.in,orbis.channel
State Bank of India (SBI),corp.onlinesbi.sbi/corporate,onlinehg.com
Axis Bank,axis.bank.in,axisfab3d.ch
Reserve Bank of India (RBI),rebit.org.in,rebirthvirgo.com
Indian Space Research Organisation (ISRO),sac.gov.in,spacex.vip
Election Commision of India (ECI),eci.gov.in,recia.app
State Bank of India (SBI),homeloans.sbi,homelogapp.com
National Informatics Centre (NIC),cloud.gov.in,cloudtalentbrief.com
National Informatics Centre (NIC),cloud.gov.in,cloudscopyhq.com
Air India,airindia.com,apowerindia.com
National Informatics Centre (NIC),cloud.gov.in,cloudaxon.com
Vodafone Idea (VI),myvi.in,mavi.network
National Health Authority (NHA),nha.gov.in,neghab.click
National Informatics Centre (NIC),cloud.gov.in,cloudiqra.com
Airtel,airtel.in,airtv.io
ICICI Bank,icici.bank.in,icericevice.win
Air India,airindia.com,aiperindia.com
IndusInd Bank,indusind.bank.in,industrie-decor.com
State Bank of India (SBI),corp.onlinesbi.sbi/corporate,online-resume.me
Indian Space Research Organisation (ISRO),sac.gov.in,space.sarl
National Informatics Centre (NIC),cloud.gov.in,cloudfactor.xyz
National Informatics Centre (NIC),cloud.gov.in,cloudterrain.xyz
Indian Space Research Organisation (ISRO),sac.gov.in,edition-notebook.sa.com
National Informatics Centre (NIC),cloud.gov.in,cloudscrambler.com
State Bank of India (SBI),corp.onlinesbi.sbi/corporate,onlineainote.xyz
National Informatics Centre (NIC),cloud.gov.in,cloudoptions.xyz
National Informatics Centre (NIC),cloud.gov.in,cloudscapeproperties.com
Axis Bank,axis.bank.in,axispacks.com
State Bank of India (SBI),homeloans.sbi,homelybox.com
ICICI Bank,icici.bank.in,icicek.com
Vodafone Idea (VI),myvi.in,myvedicvibe.com
National Informatics Centre (NIC),cloud.gov.in,cloudchainhub.xyz
National Informatics Centre (NIC),cloud.gov.in,cloud-wmdhosting.com
parivahan sewa,parivahan.gov.in,parkaa.lat
State Bank of India (SBI),corp.onlinesbi.sbi/corporate,onlinecinema.xyz
parivahan sewa,parivahan.gov.in,pariahh.com
National Informatics Centre (NIC),cloud.gov.in,vkcloud.app
Indian Oil Corporation Limited (IOCL),indianoilcgd.com,indicationlab.com
Indian Space Research Organisation (ISRO),sac.gov.in,stracu.com
Indian Oil Corporation Limited (IOCL),indianoilcgd.com,indiapia.com
Indian Space Research Organisation (ISRO),isro.gov.in,isarevons.biz
Vodafone Idea (VI),myvi.in,myviasefurla.com
Kfintech,kfintech.com,fi-intech.com
Reserve Bank of India (RBI),rbi.org.in,rubicj.com
National Informatics Centre (NIC),cloud.gov.in,cloudsyntra.com
Reserve Bank of India (RBI),rbi.org.in,runbix.com
State Bank of India (SBI),corp.onlinesbi.sbi/corporate,online-dtl.ru
National Informatics Centre (NIC),cloud.gov.in,cloudsafeco.com
Axis Bank,axis.bank.in,axistogelkita.com
