Cooresponding CSE,Legitimate Domains,Identified Phishing/Suspected Domain Name
State Bank of India (SBI),onlinesbi.sbi,onlinehustleideas.com
State Bank of India (SBI),onlinesbi.sbi,oonline-bill.net
State Bank of India (SBI),onlinesbi.sbi,onlinebot.store
State Bank of India (SBI),onlinesbi.sbi,onlineboijogot.shop
State Bank of India (SBI),sbi.co.in,sbieben.fi
"Civil Registration System (CRS), MHA",dc.crsorgi.gov.in,corgi.events
State Bank of India (SBI),onlinesbi.sbi,onlieene.top
State Bank of India (SBI),onlinesbi.sbi,onlinesendnote.in
Bank of Baroda (BoB),bankofbaroda.in,bankofpop.com
HDFC Bank,hdfc.com,hdfcs-pro.cyou
Airtel,airtel.in,airtext.in
State Bank of India (SBI),onlinesbi.sbi,onlinebog.com
State Bank of India (SBI),onlinesbi.sbi,onlinegamecasinos.com
State Bank of India (SBI),sbi.co.in,5o9bix.beauty
State Bank of India (SBI),onlinesbi.sbi,online2026.observer
Airtel,airtel.in,airstech.io
State Bank of India (SBI),onlinesbi.sbi,onlinetonerci.com
State Bank of India (SBI),onlinesbi.sbi,onlinecasinospace.org
State Bank of India (SBI),sbilife.co.in,blisslife.com.mx
Indian Oil Corporation Limited (IOCL),iocl.com,oc1.ai
State Bank of India (SBI),onlinesbi.sbi,0nline5l.com
Punjab National Bank (PNB),pnbindia.in,pngindia.com
State Bank of India (SBI),onlinesbi.sbi,onlineai.app
ICICI Bank,icicibank.com,icicoquin.com
Airtel,airtel.in,airtravel.management
State Bank of India (SBI),onlinesbi.sbi,onlinegame.cz
State Bank of India (SBI),onlinesbi.sbi,online-members.top
State Bank of India (SBI),onlinesbi.sbi,onli.love
State Bank of India (SBI),onlinesbi.sbi,online-art-sightama.jp
State Bank of India (SBI),onlinesbi.sbi,online-slot.buzz
State Bank of India (SBI),onlinesbi.sbi,online238.com
State Bank of India (SBI),sbi.co.in,gsbit.info
Indian Oil Corporation Limited (IOCL),iocl.com,iotcloud.app
State Bank of India (SBI),onlinesbi.sbi,onlinesitecp.store
Airtel,airtel.in,airtap.xyz
State Bank of India (SBI),onlinesbi.sbi,online-signieren.de
State Bank of India (SBI),onlinesbi.sbi,onlinegolflabs.com
State Bank of India (SBI),onlinesbi.sbi,onlineservices20252627.online
Indian Oil Corporation Limited (IOCL),iocl.com,ironclad.monster
State Bank of India (SBI),onlinesbi.sbi,onlineshop-usa.com
State Bank of India (SBI),onlinesbi.sbi,onlinegames3d.com
State Bank of India (SBI),onlinesbi.sbi,online-sale.xyz
State Bank of India (SBI),sbilife.co.in,biglife.fr
Airtel,airtel.in,airtype.space
State Bank of India (SBI),sbilife.co.in,seri-life.com
State Bank of India (SBI),onlinesbi.sbi,online-funds-link.cfd
Punjab National Bank (PNB),netpnb.com,netkupon.com
Airtel,airtel.in,ai3.zone
State Bank of India (SBI),onlinesbi.sbi,onlinegames.com.pk
State Bank of India (SBI),sbi.co.in,usbia.fr
State Bank of India (SBI),onlinesbi.sbi,online-svip.com
"Civil Registration System (CRS), MHA",dc.crsorgi.gov.in,rorg.top
Indian Oil Corporation Limited (IOCL),iocl.com,isocele.net
State Bank of India (SBI),sbilife.co.in,sbilineaa.com
Airtel,airtel.in,airtm.love
State Bank of India (SBI),onlinesbi.sbi,onlineeastbk.online
Airtel,airtel.in,ariatel.de
Punjab National Bank (PNB),netpnb.com,nexpn.com
Airtel,airtel.in,akgiertl.com
Airtel,airtel.in,araitogel.org
Airtel,airtel.in,airtempac.net
Airtel,airtel.in,naritoel.shop
State Bank of India (SBI),onlinesbi.sbi,onlineaanbiedingen.com
Bank of Baroda (BoB),bankofbaroda.in,bankofametica.shop
Airtel,airtel.in,aiart.academy
Airtel,airtel.in,airportwelders.com
State Bank of India (SBI),onlinesbi.sbi,online-skool.com
State Bank of India (SBI),yonobusiness.sbi,vyomabusiness.com
State Bank of India (SBI),onlinesbi.sbi,onlinedtfbaski.net
State Bank of India (SBI),sbi.co.in,5big6.com
State Bank of India (SBI),onlinesbi.sbi,onlinehrv.com
"Civil Registration System (CRS), MHA",dc.crsorgi.gov.in,csrorgi.online
State Bank of India (SBI),onlinesbi.sbi,online-ri.cyou
State Bank of India (SBI),sbicard.com,icar.digital
State Bank of India (SBI),sbicard.com,stickard.com
Punjab National Bank (PNB),pnbindia.in,enbinmedia.store
State Bank of India (SBI),onlinesbi.sbi,ones.casa
Indian Oil Corporation Limited (IOCL),iocl.com,iboxclaw.com
State Bank of India (SBI),sbi.co.in,sabtic.ir
State Bank of India (SBI),onlinesbi.sbi,online-zriif.com
State Bank of India (SBI),sbi.co.in,sabino.dev
Bank of Baroda (BoB),bobibanking.com,bobiqianbao.cn
State Bank of India (SBI),sbi.co.in,5biker.com
State Bank of India (SBI),onlinesbi.sbi,onibizness.com
State Bank of India (SBI),onlinesbi.sbi,onlineshowroom.info
State Bank of India (SBI),onlinesbi.sbi,onlinecasinoboomerang.nl
Indian Oil Corporation Limited (IOCL),iocl.com,indocolo.id
HDFC Bank,hdfcbank.com,fdicbank.top
HDFC Bank,hdfclife.com,hdfilme.press
State Bank of India (SBI),onlinesbi.sbi,onlinespecials.shop
Airtel,airtel.in,airelter-sz.com
State Bank of India (SBI),onlinesbi.sbi,online-ticket.me
State Bank of India (SBI),sbi.co.in,stubie.events
State Bank of India (SBI),onlinesbi.sbi,online-friends.com
State Bank of India (SBI),onlinesbi.sbi,online-yepcasino.com
HDFC Bank,hdfc.com,hdcfc.com.cn
State Bank of India (SBI),onlinesbi.sbi,onlineyy.cloud
Airtel,airtel.in,airde.co.in
State Bank of India (SBI),onlinesbi.sbi,onlinemobilesupport.co.uk
State Bank of India (SBI),onlinesbi.sbi,onlineaqua.info
State Bank of India (SBI),sbi.co.in,sbxdia.com
"Civil Registration System (CRS), MHA",dc.crsorgi.gov.in,corsi.media
Airtel,airtel.in,aircotiel.com
Bank of Baroda (BoB),bobibanking.com,bobusangin.com
State Bank of India (SBI),onlinesbi.sbi,onlinestrahovki24.online
State Bank of India (SBI),onlinesbi.sbi,onlinemediator.us
State Bank of India (SBI),onlinesbi.sbi,online22bet.org
State Bank of India (SBI),onlinesbi.sbi,onlinebestpractices.com
Bank of Baroda (BoB),bankofbaroda.in,bank0famericabitc0in.com
Airtel,airtel.in,airelle.net
Indian Railway Catering and Tourism Corporation (IRCTC),irctc.co.in,ircrack.com
Punjab National Bank (PNB),netpnb.com,netpeak-ny.us
Airtel,airtel.in,aerointel.co.in
Airtel,airtel.in,cartel.bond
State Bank of India (SBI),onlinesbi.sbi,onlinesquabble.com
State Bank of India (SBI),onlinesbi.sbi,onlineviahaus.digital
Bank of Baroda (BoB),bankofbaroda.in,bankbdo.one
Airtel,airtel.in,aite.click
Airtel,airtel.in,airtablw.com
Airtel,airtel.in,aybiratelier.xyz
State Bank of India (SBI),sbi.co.in,sbiunz.asia
ICICI Bank,icicibank.com,icia.education
Indian Oil Corporation Limited (IOCL),iocl.com,ioy1.cn
Airtel,airtel.in,airtawarlele.vip
State Bank of India (SBI),sbi.co.in,sblais.online
State Bank of India (SBI),onlinesbi.sbi,onlinebuyweb.com
State Bank of India (SBI),onlinesbi.sbi,onlinestaffer.com
State Bank of India (SBI),onlinesbi.sbi,online-cities.com
Bank of Baroda (BoB),bankofbaroda.in,bank.rw
State Bank of India (SBI),onlinesbi.sbi,online-rastrick.com
State Bank of India (SBI),onlinesbi.sbi,online-tester.ru
State Bank of India (SBI),sbiepay.sbi,sbcpay.net
State Bank of India (SBI),onlinesbi.sbi,onlinegndu.com
State Bank of India (SBI),onlinesbi.sbi,onlinehosting.net
State Bank of India (SBI),sbilife.co.in,sbilinebb.com
Airtel,airtel.in,aircaster.net
Indian Railway Catering and Tourism Corporation (IRCTC),irctc.co.in,icrtstc.com
State Bank of India (SBI),onlinesbi.sbi,onlinedistributions.com
State Bank of India (SBI),onlinesbi.sbi,onlinebistraining.com
Airtel,airtel.in,airstore1.com
Airtel,airtel.in,artiintel.ru
Punjab National Bank (PNB),netpnb.com,nextcnb.co.uk
Bank of Baroda (BoB),bankofbaroda.in,bonakara.com
State Bank of India (SBI),onlinesbi.sbi,onlinepaintstore.com
State Bank of India (SBI),onlinesbi.sbi,onlinebusinessbootcamp.ng
Airtel,airtel.in,airthermica.com
State Bank of India (SBI),sbilife.co.in,simlfe.com
Bank of Baroda (BoB),bankofbaroda.in,bankofwi.com
State Bank of India (SBI),yonobusiness.sbi,100-business.com
State Bank of India (SBI),sbi.co.in,ssubit.com
State Bank of India (SBI),onlinesbi.sbi,onlinebikes-uk.com
Bank of Baroda (BoB),bankofbaroda.in,bankar.pro
State Bank of India (SBI),sbi.co.in,seb-io.net
State Bank of India (SBI),sbi.co.in,syabil.com
Bank of Baroda (BoB),bankofbaroda.in,bankfoamewrica.com
Airtel,airtel.in,airtablexperts.com
State Bank of India (SBI),onlinesbi.sbi,onlineeksperim.com
State Bank of India (SBI),onlinesbi.sbi,onlinezeus.srl
State Bank of India (SBI),onlinesbi.sbi,onlineupliftt.org
State Bank of India (SBI),sbi.co.in,sobrix.in
HDFC Bank,hdfc.com,hdfcmaxinsurance.com
State Bank of India (SBI),onlinesbi.sbi,onlineacb.com
Punjab National Bank (PNB),netpnb.com,netpod.app
Indian Oil Corporation Limited (IOCL),iocl.com,iclk.fr
State Bank of India (SBI),onlinesbi.sbi,onlinenyra.com
State Bank of India (SBI),onlinesbi.sbi,onlinesourcing.net
State Bank of India (SBI),onlinesbi.sbi,onlineshart.com
State Bank of India (SBI),onlinesbi.sbi,online-spin-games.site
State Bank of India (SBI),onlinesbi.sbi,onlineparts.store
State Bank of India (SBI),onlinesbi.sbi,onlineseyahat.com
State Bank of India (SBI),onlinesbi.sbi,onlineeduguide.in
Airtel,airtel.in,artiweld.com
National Informatics Centre (NIC),accounts.mgovcloud.in,mig-cloud.com
State Bank of India (SBI),sbi.co.in,subib.pro
State Bank of India (SBI),sbi.co.in,scbit.ru
Airtel,airtel.in,aicitel.com
State Bank of India (SBI),onlinesbi.sbi,onlinegirisleribnatr.com
State Bank of India (SBI),onlinesbi.sbi,onlinebusinessfinance104.com
State Bank of India (SBI),onlinesbi.sbi,onlinesco-tia.com
State Bank of India (SBI),onlinesbi.sbi,online-casino-pay-id.com
Airtel,airtel.in,airmealai.com
State Bank of India (SBI),onlinesbi.sbi,onlinevibrator.com
Punjab National Bank (PNB),netpnb.com,netzphone.de
State Bank of India (SBI),onlinesbi.sbi,onlinelistmaker.com
Airtel,airtel.in,vatrixel.xyz
State Bank of India (SBI),onlinesbi.sbi,onlinebs2.ru
State Bank of India (SBI),sbi.co.in,symbio.markets
Indian Railway Catering and Tourism Corporation (IRCTC),irctc.co.in,ipractice.app
