Cooresponding CSE,Legitimate Domains,Identified Phishing/Suspected Domain Name
Indian Space Research Organisation (ISRO),isro.gov.in,insuroq.com
Airtel,airtel.in,artdiesel.com
State Bank of India (SBI),corp.onlinesbi.sbi/corporate,onlinetoolbase.com
Vodafone Idea (VI),myvi.in,myvireo.com
BSE Ltd.,bseindia.com,byteindian.xyz
National Informatics Centre (NIC),cloud.gov.in,cloud-storage-ca.click
State Bank of India (SBI),corp.onlinesbi.sbi/corporate,onlinecasinoblogincanada.com
Axis Bank,axis.bank.in,axisprints.com
Income Tax Department,incometax.gov.in,incomplte.com
Indian Space Research Organisation (ISRO),sac.gov.in,isac.dev
National Health Authority (NHA),nha.gov.in,nrhats.com
BSE Ltd.,bseindia.com,byindian.com
National Informatics Centre (NIC),cloud.gov.in,cloudlogging.com
parivahan sewa,parivahan.gov.in,parmaviagens.com.br
Axis Bank,axis.bank.in,axiids.com
State Bank of India (SBI),homeloans.sbi,homeforsalemankato.com
State Bank of India (SBI),corp.onlinesbi.sbi/corporate,onlineloanslouisiana.com
National Informatics Centre (NIC),cloud.gov.in,grncloud.cloud
State Bank of India (SBI),homeloans.sbi,noreloans.com
Airtel,airtel.in,aijte.com
Reserve Bank of India (RBI),rebit.org.in,refita.ru
National Informatics Centre (NIC),cloud.gov.in,cloudaxis.xyz
State Bank of India (SBI),sbilife.co.in,tibbs4life.com
HDFC Bank,hdfcfund.com,cffund.com
Air India,airindia.com,aiindianow.com
Jio,jio.com,jiong100.com
Axis Bank,axis.bank.in,axisstar.com
National Health Authority (NHA),nha.gov.in,nhanthuc.com
Axis Bank,axismaxlife.com,axial-e.com
Reserve Bank of India (RBI),rbi.org.in,arbi.business
National Informatics Centre (NIC),cloud.gov.in,cloudandhug.com
National Informatics Centre (NIC),cloud.gov.in,cloudbackups.com
National Informatics Centre (NIC),cloud.gov.in,cloudcardinal.xyz
Indian Oil Corporation Limited (IOCL),indianoilcgd.com,indiaconsult.com
National Informatics Centre (NIC),cloud.gov.in,cloudofficekeo.store
National Informatics Centre (NIC),cloud.gov.in,cloudcampuscases.com
Indian Space Research Organisation (ISRO),sac.gov.in,fashiontrends.sa.com
National Informatics Centre (NIC),cloud.gov.in,lloud.blog
National Informatics Centre (NIC),cloud.gov.in,cloudoffice.site
Computer Age Management Services Ltd. (CAMS),camsonline.com,casoniq.com
Reserve Bank of India (RBI),rebit.org.in,rebainfratech.com
Indian Space Research Organisation (ISRO),sac.gov.in,teamlabeart.sa.com
National Informatics Centre (NIC),cloud.gov.in,cloud-dns-inc.com
Canara Bank,canarabank.com,canadianmarketindex.com
National Informatics Centre (NIC),cloud.gov.in,cloud-laboratory.com
State Bank of India (SBI),homeloans.sbi,homedataonline.com
Axis Bank,axis.bank.in,alexis66.com
State Bank of India (SBI),corp.onlinesbi.sbi/corporate,onlinespindle.com
National Informatics Centre (NIC),cloud.gov.in,cloudbudget.xyz
Airtel,airtel.in,airtkt.in
Canara Bank,canarabank.com,canabook.com
State Bank of India (SBI),corp.onlinesbi.sbi/corporate,onlineapps.space
National Informatics Centre (NIC),cloud.gov.in,cloudcroft-motel.com
Indian Space Research Organisation (ISRO),sac.gov.in,sacstore.ma
National Informatics Centre (NIC),cloud.gov.in,cloudtalentbrief.com
Axis Bank,axis.bank.in,aiys.com
Coal India,coalindia.in,cocktailindia.com
IndusInd Bank,indusind.bank.in,industriedekor.com
State Bank of India (SBI),corp.onlinesbi.sbi/corporate,onlinespringboard.co
National Informatics Centre (NIC),cloud.gov.in,cloudahl.com
National Informatics Centre (NIC),cloud.gov.in,cloudonymous.com
Indian Oil Corporation Limited (IOCL),indianoilcgd.com,indianauctions.com
National Informatics Centre (NIC),cloud.gov.in,cloudeus.info
National Informatics Centre (NIC),cloud.gov.in,clouddaddy.xyz
State Bank of India (SBI),corp.onlinesbi.sbi/corporate,onlinegrowthbridge.info
National Informatics Centre (NIC),cloud.gov.in,cloudinspire.xyz
National Informatics Centre (NIC),cloud.gov.in,cloudstring.io
National Informatics Centre (NIC),cloud.gov.in,cloudrelay.sbs
National Informatics Centre (NIC),cloud.gov.in,clousterdata.com
Jio,jio.com,jini09.com
Indian Space Research Organisation (ISRO),sac.gov.in,sanche.agency
National Informatics Centre (NIC),cloud.gov.in,cloudbackupnow.com
National Informatics Centre (NIC),cloud.gov.in,cloudbooktech.com
State Bank of India (SBI),homeloans.sbi,homesolarac.com
Indian Space Research Organisation (ISRO),sac.gov.in,seatcn.com
Airtel,airtel.in,airtalo.com
State Bank of India (SBI),corp.onlinesbi.sbi/corporate,onlirise.com
National Informatics Centre (NIC),cloud.gov.in,cloudcryptominer.xyz
State Bank of India (SBI),homeloans.sbi,homex-sa.com
Reserve Bank of India (RBI),rebit.org.in,resbet.top
All India Institute of Medical Sciences (AIIMS),aiims.edu,aimcps.com
Canara Bank,canarabank.com,canadadrink.com
National Informatics Centre (NIC),cloud.gov.in,cloudaroq.com
National Informatics Centre (NIC),cloud.gov.in,clouuds-sa.com
National Informatics Centre (NIC),cloud.gov.in,cloudbearer.xyz
State Bank of India (SBI),homeloans.sbi,homecoming.health
National Informatics Centre (NIC),cloud.gov.in,cloudinnovatorslife.com
Computer Age Management Services Ltd. (CAMS),camsonline.com,camacconsulting.com
Bank of Baroda,bankofbaroda.bank.in,bankofcadiz.com
State Bank of India (SBI),homeloans.sbi,home18.org
Axis Bank,axis.bank.in,axisglobalone.com
National Informatics Centre (NIC),cloud.gov.in,cloudingtech.com
National Informatics Centre (NIC),cloud.gov.in,cloudfireoficial.com
National Informatics Centre (NIC),cloud.gov.in,clouddl.xyz
Indian Oil Corporation Limited (IOCL),indianoilcgd.com,indianfooddiet.com
National Informatics Centre (NIC),cloud.gov.in,jxccloud.com
State Bank of India (SBI),homeloans.sbi,hometeamnb.com
Indian Space Research Organisation (ISRO),sac.gov.in,ssfact.com
Indian Space Research Organisation (ISRO),sac.gov.in,sachtech.online
National Informatics Centre (NIC),cloud.gov.in,cloudl.help
State Bank of India (SBI),homeloans.sbi,homeplatecms.com
Kfintech,kfintech.com,fintechgo.com
National Informatics Centre (NIC),cloud.gov.in,cloudspire360.com
State Bank of India (SBI),corp.onlinesbi.sbi/corporate,online-idea.com
ICICI Bank,icici.bank.in,biciclick.com
Airtel,airtel.in,aitell.com
Airtel,airtel.in,airtm.dating
Kfintech,kfintech.com,kiwanotech.com
National Informatics Centre (NIC),cloud.gov.in,clouvels.com
National Informatics Centre (NIC),cloud.gov.in,cloudconnector.xyz
National Health Authority (NHA),nha.gov.in,nhomat.xyz
Axis Bank,axis.bank.in,axiomsfx.xyz
National Informatics Centre (NIC),cloud.gov.in,cloudftw.com
Vodafone Idea (VI),myvi.in,mpyv.com
Indian Space Research Organisation (ISRO),sac.gov.in,sac4kids.com
All India Institute of Medical Sciences (AIIMS),aiims.edu,aiimai.dev
State Bank of India (SBI),homeloans.sbi,homeofhighfantasy.com
State Bank of India (SBI),homeloans.sbi,homesbylanae.com
Airtel,airtelpayments.bank.in,aireplacement.com
Indian Space Research Organisation (ISRO),sac.gov.in,88-xx.sa.com
Bank of Baroda,bankofbaroda.bank.in,bobrod.com
State Bank of India (SBI),corp.onlinesbi.sbi/corporate,onlinewebsitedesigner.com
State Bank of India (SBI),homeloans.sbi,homesonline.store
Indian Space Research Organisation (ISRO),sac.gov.in,suacom.com
State Bank of India (SBI),sbi.co.in,sbionics.com
State Bank of India (SBI),corp.onlinesbi.sbi/corporate,onlineserver2.top
Reserve Bank of India (RBI),rbi.org.in,irbis.land
Indian Space Research Organisation (ISRO),isro.gov.in,insurons.com
All India Institute of Medical Sciences (AIIMS),aiims.edu,amitis.style
National Informatics Centre (NIC),cloud.gov.in,vexcloud.com
State Bank of India (SBI),corp.onlinesbi.sbi/corporate,onlineddc.com
State Bank of India (SBI),homeloans.sbi,homelyda.com
National Informatics Centre (NIC),cloud.gov.in,cloudhazy.com
National Informatics Centre (NIC),cloud.gov.in,cloudwayfulfillment.com
National Informatics Centre (NIC),cloud.gov.in,wcloud.nz
National Informatics Centre (NIC),cloud.gov.in,cloudsxiamen.com
State Bank of India (SBI),homeloans.sbi,homeadvisor.store
Indian Oil Corporation Limited (IOCL),indianoilcgd.com,indiearc.com
State Bank of India (SBI),homeloans.sbi,homeloan19.com
ICICI Bank,icici.bank.in,icivici.com
State Bank of India (SBI),sbi.co.in,sabini.xyz
Election Commision of India (ECI),eci.gov.in,3coins.com
Punjab National Bank (PNB),netpnb.com,netplango.com
Air India,airindia.com,indiria.com
State Bank of India (SBI),sbi.co.in,safbii.com
