Cooresponding CSE,Legitimate Domains,Identified Phishing/Suspected Domain Name
National Informatics Centre (NIC),cloud.gov.in,cloudterminal.xyz
Canara Bank,canarabank.com,cannatanks.com
National Informatics Centre (NIC),cloud.gov.in,cloud9thc.com
National Informatics Centre (NIC),cloud.gov.in,cloud-therapist.com
State Bank of India (SBI),corp.onlinesbi.sbi/corporate,onlinecasinosmac.com
State Bank of India (SBI),homeloans.sbi,homegrowncigars.com
Reserve Bank of India (RBI),rebit.org.in,reyit.com
State Bank of India (SBI),corp.onlinesbi.sbi/corporate,onlineaiturbo.xyz
Indian Space Research Organisation (ISRO),sac.gov.in,55ac.link
IndusInd Bank,indusind.bank.in,indorsing.com
National Informatics Centre (NIC),cloud.gov.in,cloudassured.xyz
Airtel,airtel.in,airtel-merchants.club
National Informatics Centre (NIC),cloud.gov.in,cloudlinesupplyco.com
State Bank of India (SBI),homeloans.sbi,homeloanstroy.com
State Bank of India (SBI),corp.onlinesbi.sbi/corporate,online0n.top
Airtel,airtel.in,air-teo.com
Indian Space Research Organisation (ISRO),iirs.gov.in,sixirss.xyz
Airtel,airtel.in,aristelli.ru
National Informatics Centre (NIC),cloud.gov.in,cloudygoggle.cloud
Air India,airindia.com,apowerindia.com
Computer Age Management Services Ltd. (CAMS),camsonline.com,aionline.run
Reserve Bank of India (RBI),rebit.org.in,reybat.com
Unique Identification Authority of India (UIDAI),uidai.gov.in,buildaion.site
National Informatics Centre (NIC),cloud.gov.in,cloudnomix.com
"Civil Registration System, MHA (RGCCI)",crsorgi.gov.in,crsar.com
Axis Bank,axis.bank.in,axispaving.com
National Informatics Centre (NIC),cloud.gov.in,cloud-myapple.net
IndusInd Bank,indusind.bank.in,industriedecor.com
Punjab National Bank (PNB),pnb.bank.in,panbe.online
National Informatics Centre (NIC),cloud.gov.in,cloudprogramming.xyz
Airtel,airtel.in,airwaterclub.com
Income Tax Department,incometax.gov.in,comet.casa
State Bank of India (SBI),sbi.co.in,shbivz.com
Indian Space Research Organisation (ISRO),iirs.gov.in,iisri.com
All India Institute of Medical Sciences (AIIMS),aiims.edu,aisimps.com
State Bank of India (SBI),corp.onlinesbi.sbi/corporate,onlinesend.com
National Informatics Centre (NIC),cloud.gov.in,cloudpanther.xyz
National Informatics Centre (NIC),accounts.mgovcloud.in,gogicloud.com
Reserve Bank of India (RBI),rebit.org.in,rebslist.com
National Health Authority (NHA),nha.gov.in,nchian.com
Indian Space Research Organisation (ISRO),nrsc.gov.in/nrscnew,nrs.world
Kfintech,kfintech.com,kfteach.com
State Bank of India (SBI),homeloans.sbi,homelabserver.management
National Informatics Centre (NIC),cloud.gov.in,cloudtransact.xyz
State Bank of India (SBI),homeloans.sbi,home-heloc-loan-apply.click
Air India,airindia.com,iamrindia.com
State Bank of India (SBI),homeloans.sbi,homeandclosetspark.com
State Bank of India (SBI),homeloans.sbi,home-cooks.com
Air India,airindia.com,aimlindia.com
State Bank of India (SBI),corp.onlinesbi.sbi/corporate,onlinefiscal.com
State Bank of India (SBI),corp.onlinesbi.sbi/corporate,onlinehypnosistherapy.com
National Informatics Centre (NIC),cloud.gov.in,cloudfame.xyz
National Informatics Centre (NIC),cloud.gov.in,cloudmailexperts.com
National Informatics Centre (NIC),cloud.gov.in,cloudscrambler.com
National Informatics Centre (NIC),cloud.gov.in,lloud.blog
State Bank of India (SBI),homeloans.sbi,homely-nl.com
Election Commision of India (ECI),eci.gov.in,ecmair.com
National Informatics Centre (NIC),cloud.gov.in,cloudevolved.xyz
Indian Oil Corporation Limited (IOCL),indianoilcgd.com,indianocorp.com
Income Tax Department,incometax.gov.in,incometaxvaluer.com
State Bank of India (SBI),corp.onlinesbi.sbi/corporate,onlinebbva.com
Jio,jio.com,jiohello.com
National Informatics Centre (NIC),cloud.gov.in,cloudsafeco.com
Vodafone Idea (VI),myvi.in,mydnaview.com
Bank of Baroda,bankofbaroda.bank.in,bankorb.com
Unique Identification Authority of India (UIDAI),uidai.gov.in,idahi.com
State Bank of India (SBI),homeloans.sbi,homecookin.app
Reserve Bank of India (RBI),rebit.org.in,rebirthrebuildllc.com
Indian Space Research Organisation (ISRO),isro.gov.in,isgroup.space
National Informatics Centre (NIC),authwebmail.nic.in,authwiki.xyz
Indian Space Research Organisation (ISRO),sac.gov.in,sacherix.com
Indian Oil Corporation Limited (IOCL),indianoilcgd.com,indianalifecoach.com
National Health Authority (NHA),nha.gov.in,xnhau.com
Indian Space Research Organisation (ISRO),sac.gov.in,sac-kuru.com
National Informatics Centre (NIC),cloud.gov.in,cloudbyasseco.com
Axis Bank,axis.bank.in,taxistv.com
State Bank of India (SBI),corp.onlinesbi.sbi/corporate,onlinefruitshop.com
State Bank of India (SBI),homeloans.sbi,homeeasesc.com
Election Commision of India (ECI),eci.gov.in,ecamif.com
National Informatics Centre (NIC),authwebmail.nic.in,authmatic.xyz
National Informatics Centre (NIC),cloud.gov.in,clouddollar.xyz
National Informatics Centre (NIC),cloud.gov.in,cloudcuts.xyz
IDFC FIRST Bank,idfcfirst.bank.in,idfconcert.com
Airtel,airtel.in,airateb.com
National Informatics Centre (NIC),cloud.gov.in,cloudforge-labs.uk
IndusInd Bank,indusind.bank.in,industri.design
Airtel,airtel.in,aihotel.us
National Informatics Centre (NIC),cloud.gov.in,cloudimperiumai.com
State Bank of India (SBI),homeloans.sbi,hometeamnb.com
National Informatics Centre (NIC),cloud.gov.in,cloudcollectibles.xyz
National Informatics Centre (NIC),cloud.gov.in,akscloud.xyz
IndusInd Bank,indusind.bank.in,inducify.com
Indian Space Research Organisation (ISRO),sac.gov.in,sodach.com
Reserve Bank of India (RBI),rbi.org.in,robvip.pro
National Informatics Centre (NIC),accounts.mgovcloud.in,aovcloud.com
National Informatics Centre (NIC),cloud.gov.in,cloudlney.com
National Health Authority (NHA),nha.gov.in,nchian.cyou
Airtel,airtelpayments.bank.in,retailpayment.io
National Informatics Centre (NIC),cloud.gov.in,cloudstaked.xyz
All India Institute of Medical Sciences (AIIMS),aiims.edu,aimaas.solutions
National Informatics Centre (NIC),cloud.gov.in,cloudtechmarketplace.com
Airtel,airtel.in,airegulus.com
National Health Authority (NHA),nha.gov.in,nchian.top
National Informatics Centre (NIC),cloud.gov.in,cloudhisting.xyz
State Bank of India (SBI),corp.onlinesbi.sbi/corporate,online-casino-newsroom.com
State Bank of India (SBI),homeloans.sbi,homacreations.com
Punjab National Bank (PNB),pnb.bank.in,panbe.sbs
HDFC Bank,hdfclife.com,hdicfl.com
Coal India,coalindia.in,coastlinefi.com
Indian Space Research Organisation (ISRO),sac.gov.in,saicos.com
parivahan sewa,parivahan.gov.in,parkvistaband.com
Reserve Bank of India (RBI),rbi.org.in,rbaiyi.top
State Bank of India (SBI),corp.onlinesbi.sbi/corporate,onlinecasinoidealbetalen.com
National Health Authority (NHA),nha.gov.in,nhacc.xyz
National Informatics Centre (NIC),cloud.gov.in,cloudmints.com
State Bank of India (SBI),corp.onlinesbi.sbi/corporate,on1ine.com
Election Commision of India (ECI),eci.gov.in,esciri.com
Jio,jio.com,jini09.com
Vodafone Idea (VI),myvi.in,mybi.com
