Cooresponding CSE,Legitimate Domains,Identified Phishing/Suspected Domain Name
Airtel,airtel.in,arratel.com
State Bank of India (SBI),onlinesbi.sbi,onlinehandelsregister.org
Airtel,airtel.in,airbtechnologies.com
State Bank of India (SBI),onlinesbi.sbi,onlineless.com
State Bank of India (SBI),onlinesbi.sbi,onlineshopinggiftss.info
State Bank of India (SBI),sbi.co.in,snbing.com
State Bank of India (SBI),onlinesbi.sbi,onlinebrickhousegps.org
State Bank of India (SBI),onlinesbi.sbi,onlieene.top
Airtel,airtel.in,air.baby
State Bank of India (SBI),onlinesbi.sbi,onlinebestgames.xyz
HDFC Bank,hdfcbank.com,hdfcbankltd.info
Airtel,airtel.in,ait.ink
State Bank of India (SBI),onlinesbi.sbi,onlinebigpromo.com
ICICI Bank,icicibank.com,icici-bank.online
Bank of Baroda (BoB),bobibanking.com,bobiqianbao.cn
State Bank of India (SBI),onlinesbi.sbi,onlisting.my.id
National Informatics Centre (NIC),accounts.mgovcloud.in,voygrcloud.com
State Bank of India (SBI),onlinesbi.sbi,onlinebingo.pl
State Bank of India (SBI),sbi.co.in,sbinnala.shop
State Bank of India (SBI),onlinesbi.sbi,onlinemediator.us
State Bank of India (SBI),onlinesbi.sbi,ownline.info
State Bank of India (SBI),sbiepay.sbi,biep.fr
Airtel,airtel.in,agitravel.sk
HDFC Bank,hdfc.com,hdfdzc.asia
State Bank of India (SBI),sbi.co.in,stubie.events
Bank of Baroda (BoB),bobibanking.com,bobdianzi.com
"Civil Registration System (CRS), MHA",dc.crsorgi.gov.in,crocri.com
State Bank of India (SBI),onlinesbi.sbi,onlinemaster.pro
State Bank of India (SBI),onlinesbi.sbi,onlinebusinesscourses.site
State Bank of India (SBI),onlinesbi.sbi,online-casino-spiele.eu
State Bank of India (SBI),onlinesbi.sbi,onlinebahissirketleri10.com
Punjab National Bank (PNB),netpnb.com,netkupon.com
State Bank of India (SBI),onlinesbi.sbi,onlinelscstore.shop
State Bank of India (SBI),sbiepay.sbi,biea.xyz
State Bank of India (SBI),onlinesbi.sbi,onlinsastelinfo.xyz
State Bank of India (SBI),onlinesbi.sbi,ponlinesitet.shop
State Bank of India (SBI),onlinesbi.sbi,onlinebahissirketleri11.com
National Informatics Centre (NIC),accounts.mgovcloud.in,mloncloud.com
State Bank of India (SBI),onlinesbi.sbi,onlinerk.xyz
State Bank of India (SBI),yonobusiness.sbi,joolbusiness.com
State Bank of India (SBI),onlinesbi.sbi,onlinerestorationleads.com
Airtel,airtel.in,aiart.icu
State Bank of India (SBI),sbi.co.in,sbkyih.asia
State Bank of India (SBI),onlinesbi.sbi,onlinerk.com
State Bank of India (SBI),onlinesbi.sbi,online-cities.com
State Bank of India (SBI),onlinesbi.sbi,online-handelsregister.net
State Bank of India (SBI),onlinesbi.sbi,onlinelicei.ru
Airtel,airtel.in,airtm.cheap
State Bank of India (SBI),onlinesbi.sbi,onlineaanbiedingen.com
State Bank of India (SBI),yonobusiness.sbi,bonzobusiness.net
Airtel,airtel.in,aireklaam.ee
State Bank of India (SBI),onlinesbi.sbi,onlinebahissirketleri9.com
Punjab National Bank (PNB),netpnb.com,ntpn.org
State Bank of India (SBI),onlinesbi.sbi,onlinegyno.app
State Bank of India (SBI),onlinesbi.sbi,onlinefilm.live
State Bank of India (SBI),onlinesbi.sbi,onlinepixel.pt
State Bank of India (SBI),onlinesbi.sbi,online-picture.com
Airtel,airtel.in,alitzel.art
"Civil Registration System (CRS), MHA",dc.crsorgi.gov.in,csrorgi.online
State Bank of India (SBI),onlinesbi.sbi,onlineexpires.site
State Bank of India (SBI),sbilife.co.in,silime.net
Airtel,airtel.in,aircaster.net
ICICI Bank,icicibank.com,icia.education
Airtel,airtel.in,airslate-hf.xyz
State Bank of India (SBI),onlinesbi.sbi,onlinebistraining.com
State Bank of India (SBI),onlinesbi.sbi,onlinegospel.online
State Bank of India (SBI),onlinesbi.sbi,onlime.shop
Indian Oil Corporation Limited (IOCL),iocl.com,iotcloud.app
State Bank of India (SBI),onlinesbi.sbi,onlinegames.com.pk
State Bank of India (SBI),onlinesbi.sbi,onlinebahissirketleri14.com
State Bank of India (SBI),onlinesbi.sbi,onlinepref.com
State Bank of India (SBI),onlinesbi.sbi,onlineenstitu.store
State Bank of India (SBI),onlinesbi.sbi,onlinetraffic.my
State Bank of India (SBI),onlinesbi.sbi,onlinewildwin.site
State Bank of India (SBI),onlinesbi.sbi,onlineadisyon.com
State Bank of India (SBI),onlinesbi.sbi,onlinehall.ru
State Bank of India (SBI),onlinesbi.sbi,onlinevsdrk.lol
State Bank of India (SBI),sbicard.com,esimcard.club
State Bank of India (SBI),sbi.co.in,sbelia.xyz
State Bank of India (SBI),onlinesbi.sbi,onlincess.com
State Bank of India (SBI),onlinesbi.sbi,onlite.xyz
State Bank of India (SBI),sbi.co.in,slobid.lat
State Bank of India (SBI),onlinesbi.sbi,onlinevisaapply.site
State Bank of India (SBI),sbi.co.in,usbid.online
State Bank of India (SBI),onlinesbi.sbi,onlinegameses.com
HDFC Bank,hdfcbank.com,hdfcbankltd.net
Airtel,airtel.in,airaatelier.com
State Bank of India (SBI),onlinesbi.sbi,onlinewebservice.ru
