target_url,source_workbook,hostname,resolved_ips,dns_status,decision,attempts,retry_count,retry_success,resolver_profile
torana.com,AIGR-S66270_Ground_Truth.xlsx,torana.com,,no_records,rejected,1,0,False,default
domain,urls.xlsx,domain,,dns_error,rejected,1,0,False,default
onl1nesbi.sbi/login,urls.xlsx,onl1nesbi.sbi,,dns_error,rejected,1,0,False,default
landscapebyvera.com,urls.xlsx,landscapebyvera.com,192.64.119.228,resolved,accepted,1,0,False,default
icici-bank-support.in,urls.xlsx,icici-bank-support.in,,dns_error,rejected,1,0,False,default
pnblndia.in,urls.xlsx,pnblndia.in,,dns_error,rejected,1,0,False,default
pnblndia.bank.in,urls.xlsx,pnblndia.bank.in,,dns_error,rejected,1,0,False,default
pack101.org,urls.xlsx,pack101.org,,no_records,rejected,1,0,False,default
super1000.info/docssmilesvoegol.servebbs.org/voegol.php,AIGR-S66270_Ground_Truth.xlsx,super1000.info,,dns_error,rejected,1,0,False,default
192.168.1,urls.xlsx,192.168.1,,dns_error,rejected,1,0,False,default
airtel-merchants.club,AIGR-S66270_Ground_Truth.xlsx|urls.xlsx,airtel-merchants.club,,no_records,rejected,1,0,False,default
accountauthenticate.com,urls.xlsx,accountauthenticate.com,,dns_error,rejected,1,0,False,default
airtele.xyz,AIGR-S66270_Ground_Truth.xlsx|urls.xlsx,airtele.xyz,,dns_error,rejected,1,0,False,default
onlinesbi.sbi.update-rewards.xyz,urls.xlsx,onlinesbi.sbi.update-rewards.xyz,,dns_error,rejected,1,0,False,default
n6k6jqg8.top,urls.xlsx,n6k6jqg8.top,,no_records,rejected,1,0,False,default
enerzyph.com,urls.xlsx,enerzyph.com,,no_records,rejected,1,0,False,default
ybiscom.fr,urls.xlsx,ybiscom.fr,2001:8d8:100f:f000::200;217.160.0.184,resolved,accepted,1,0,False,default
digifant.network,urls.xlsx,digifant.network,,no_records,rejected,1,0,False,default
brandmappr.com,urls.xlsx,brandmappr.com,192.64.119.32,resolved,accepted,1,0,False,default
ibramep.com,urls.xlsx,ibramep.com,162.240.81.81,resolved,accepted,1,0,False,default
pnblndia-app.in,urls.xlsx,pnblndia-app.in,,dns_error,rejected,1,0,False,default
preprod-ucimtbworldseries.com,urls.xlsx,preprod-ucimtbworldseries.com,,no_records,rejected,1,0,False,default
s-s-a.us,urls.xlsx,s-s-a.us,162.255.119.81,resolved,accepted,1,0,False,default
brierleysovereigngroup.info,urls.xlsx,brierleysovereigngroup.info,2001:8d8:100f:f000::200;217.160.0.80,resolved,accepted,1,0,False,default
vertexapexgroupoptimalprocess.blog,urls.xlsx,vertexapexgroupoptimalprocess.blog,162.255.119.169,resolved,accepted,1,0,False,default
suaconsulta2026.online,urls.xlsx,suaconsulta2026.online,,dns_error,rejected,1,0,False,default
bramclaw.my.id,urls.xlsx,bramclaw.my.id,34.124.245.24,resolved,accepted,1,0,False,default
smilesvoegol.servebbs.org/voegol.php,AIGR-S66270_Ground_Truth.xlsx,smilesvoegol.servebbs.org,,dns_error,rejected,1,0,False,default
mis4624.cc,urls.xlsx,mis4624.cc,,no_records,rejected,1,0,False,default
di9rke.top,urls.xlsx,di9rke.top,137.220.136.112;137.220.136.137;137.220.136.138;149.104.32.205;149.104.32.206,resolved,accepted,1,0,False,default
optimacapitalvc.com,urls.xlsx,optimacapitalvc.com,107.180.116.32,resolved,accepted,1,0,False,default
pulsefck.store,urls.xlsx,pulsefck.store,2607:f1c0:100f:f000::200;74.208.236.228,resolved,accepted,1,0,False,default
icic-bank.com,urls.xlsx,icic-bank.com,,dns_error,rejected,1,0,False,default
jicm0yo.vip,urls.xlsx,jicm0yo.vip,,no_records,rejected,1,0,False,default
update-account.online,urls.xlsx,update-account.online,,dns_error,rejected,1,0,False,default
verify-account.net,urls.xlsx,verify-account.net,,dns_error,rejected,1,0,False,default
