target_url,source_workbook,hostname,resolved_ips,dns_status,decision,attempts,retry_count,retry_success,resolver_profile
dghjdgf.com/paypal.co.uk/cycgi-bin/webscrcmd=_home-customer&nav=1/loading.php,AIGR-S66270_Ground_Truth.xlsx,dghjdgf.com,,dns_error,rejected,1,0,False,default
smilesvoegol.servebbs.org/voegol.php,AIGR-S66270_Ground_Truth.xlsx,smilesvoegol.servebbs.org,,dns_error,rejected,1,0,False,default
super1000.info/docssmilesvoegol.servebbs.org/voegol.php,AIGR-S66270_Ground_Truth.xlsx,super1000.info,,dns_error,rejected,1,0,False,default
dutchweb.gtphost.com/zimbra/exch/owa/uleth/index.html,AIGR-S66270_Ground_Truth.xlsx,dutchweb.gtphost.com,,dns_error,rejected,1,0,False,default
reward-expiry.com,urls.xlsx,reward-expiry.com,,dns_error,rejected,1,0,False,default
icic-bank.com,urls.xlsx,icic-bank.com,,dns_error,rejected,1,0,False,default
accountauthenticate.com,urls.xlsx,accountauthenticate.com,,dns_error,rejected,1,0,False,default
cppcccare.com,urls.xlsx,cppcccare.com,,dns_error,rejected,1,0,False,default
pnblndia-app.in,urls.xlsx,pnblndia-app.in,,dns_error,rejected,1,0,False,default
update-account.online,urls.xlsx,update-account.online,,dns_error,rejected,1,0,False,default
verify-account.net,urls.xlsx,verify-account.net,,dns_error,rejected,1,0,False,default
suaconsulta2026.online,urls.xlsx,suaconsulta2026.online,,dns_error,rejected,1,0,False,default
pack101.org,urls.xlsx,pack101.org,,no_records,rejected,1,0,False,default
coastalcounselingcenter.org,urls.xlsx,coastalcounselingcenter.org,,dns_error,rejected,1,0,False,default
onl1nesbi.sbi/login,urls.xlsx,onl1nesbi.sbi,,dns_error,rejected,1,0,False,default
786786786786.com,urls.xlsx,786786786786.com,,no_records,rejected,1,0,False,default
enerzyph.com,urls.xlsx,enerzyph.com,,no_records,rejected,1,0,False,default
bramclaw.my.id,urls.xlsx,bramclaw.my.id,34.124.245.24,resolved,accepted,1,0,False,default
snackduel.com,urls.xlsx,snackduel.com,,no_records,rejected,1,0,False,default
jlchuhai.com,urls.xlsx,jlchuhai.com,,no_records,rejected,1,0,False,default
icici-bank-support.in,urls.xlsx,icici-bank-support.in,,dns_error,rejected,1,0,False,default
pnblndia.bank.in,urls.xlsx,pnblndia.bank.in,,dns_error,rejected,1,0,False,default
jardines10.com,urls.xlsx,jardines10.com,15.197.148.33;3.33.130.190,resolved,accepted,1,0,False,default
penn-hpp.com,urls.xlsx,penn-hpp.com,198.185.159.144;198.185.159.145;198.49.23.144;198.49.23.145,resolved,accepted,1,0,False,default
torana.com,AIGR-S66270_Ground_Truth.xlsx,torana.com,,no_records,rejected,1,0,False,default
snowtime.shop,urls.xlsx,snowtime.shop,13.248.243.5;76.223.105.230,resolved,accepted,1,0,False,default
wintergroupsecurity.com,urls.xlsx,wintergroupsecurity.com,192.64.119.43,resolved,accepted,1,0,False,default
thirdshelterpress.com,urls.xlsx,thirdshelterpress.com,15.197.148.33;3.33.130.190,resolved,accepted,1,0,False,default
