target_url,hostname,resolved_ips,dns_status,decision,attempts,retry_count,retry_success,resolver_profile
ezbrd.co,ezbrd.co,161.248.15.42,resolved,accepted,1,0,False,default
swiftdrops.store,swiftdrops.store,23.227.38.65;2620:127:f00f:5::,resolved,accepted,1,0,False,default
nmjiaojinginc.shop,nmjiaojinginc.shop,176.123.2.53,resolved,accepted,1,0,False,default
emon793hoky.online,emon793hoky.online,104.21.56.131;172.67.151.102;2606:4700:3030::6815:3883;2606:4700:3030::ac43:9766,resolved,accepted,1,0,False,default
uk-travel.ru,uk-travel.ru,104.21.24.218;172.67.220.218;2606:4700:3033::ac43:dcda;2606:4700:3037::6815:18da,resolved,accepted,1,0,False,default
navaitour.online,navaitour.online,95.163.244.138,resolved,accepted,1,0,False,default
enerzyph.com,enerzyph.com,,no_records,rejected,1,0,False,default
519zx.top,519zx.top,103.43.9.216;103.43.9.220;103.43.9.254;134.122.188.32;134.122.188.80;14.128.35.176;154.12.93.106;154.12.93.60;20.187.190.42;20.205.18.210;20.210.194.178;20.239.117.127;20.243.153.23;4.144.3.15,resolved,accepted,1,0,False,default
verify-account.net,verify-account.net,,dns_error,rejected,1,0,False,default
landscapebyvera.com,landscapebyvera.com,192.64.119.228,resolved,accepted,1,0,False,default
jicm0yo.vip,jicm0yo.vip,,no_records,rejected,1,0,False,default
ncbackyardbouncers.com,ncbackyardbouncers.com,66.223.49.89,resolved,accepted,1,0,False,default
allnaturalherbalmedicines.com,allnaturalherbalmedicines.com,,timeout,rejected,2,1,False,fallback
metaads.pro,metaads.pro,2.57.91.91,resolved,accepted,1,0,False,default
snowtime.shop,snowtime.shop,13.248.243.5;76.223.105.230,resolved,accepted,1,0,False,default
pack101.org,pack101.org,,no_records,rejected,1,0,False,default
sbi-secure-login.com,sbi-secure-login.com,,dns_error,rejected,1,0,False,default
aithink.world,aithink.world,,no_records,rejected,1,0,False,default
aifinance.global,aifinance.global,104.21.39.149;172.67.170.210;2606:4700:3037::6815:2795;2606:4700:3037::ac43:aad2,resolved,accepted,1,0,False,default
chillcollege.com,chillcollege.com,15.197.148.33;3.33.130.190,resolved,accepted,1,0,False,default
udbijaayurveda.com,udbijaayurveda.com,147.93.100.63;2a02:4780:11:1932:0:1322:fde5:10,resolved,accepted,1,0,False,default
jskbalaghat.org,jskbalaghat.org,162.241.123.163,resolved,accepted,1,0,False,default
uidaiaadhardownload.com,uidaiaadhardownload.com,2a02:4780:20:5bac:e7ce:b4f5:597b:9ae;2a02:4780:3c:1462:f45b:c19a:cdc2:ef7d;88.222.243.3;93.127.173.3,resolved,accepted,1,0,False,default
roisgloballogam.com,roisgloballogam.com,103.123.62.41,resolved,accepted,1,0,False,default
slexironphdrexox.world,slexironphdrexox.world,104.21.60.95;172.67.195.129;2606:4700:3032::6815:3c5f;2606:4700:3032::ac43:c381,resolved,accepted,1,0,False,default
pnblndia.bank.in,pnblndia.bank.in,,dns_error,rejected,1,0,False,default
ventajp.com,ventajp.com,52.223.13.41,resolved,accepted,1,0,False,default
n6k6jqg8.top,n6k6jqg8.top,,no_records,rejected,1,0,False,default
lfsidou.com,lfsidou.com,44.227.65.245;44.227.76.166,resolved,accepted,1,0,False,default
coastalcounselingcenter.org,coastalcounselingcenter.org,,dns_error,rejected,1,0,False,default
eatalymarket.shop,eatalymarket.shop,104.21.24.3;172.67.214.193;2606:4700:3031::6815:1803;2606:4700:3037::ac43:d6c1,resolved,accepted,1,0,False,default
