url,shortlisted_cse,shortlisted_domain,fetch_status,brand_model_top1,brand_model_confidence,domain_model_top1,domain_model_confidence,model_brand_agrees_with_shortlist,model_domain_agrees_with_shortlist,model_feature_status,model_input_error
https://camsclearing.com,Computer Age Management Services Ltd. (CAMS),camsonline.com,timeout,NA,0.0,Unknown,0.0,False,False,feature_error,'SimpleImputer' object has no attribute '_fill_dtype'
https://homefpl.com,State Bank of India (SBI),homeloans.sbi,timeout,NA,0.0,Unknown,0.0,False,False,feature_error,'SimpleImputer' object has no attribute '_fill_dtype'
https://abdelmunaim.com,National Health Authority (NHA),abdm.gov.in,timeout,NA,0.0,Unknown,0.0,False,False,feature_error,'SimpleImputer' object has no attribute '_fill_dtype'
https://rbillman.com,Reserve Bank of India (RBI),rbi.org.in,timeout,NA,0.0,Unknown,0.0,False,False,feature_error,'SimpleImputer' object has no attribute '_fill_dtype'
https://cloudincltd.com,National Informatics Centre (NIC),cloud.gov.in,timeout,NA,0.0,Unknown,0.0,False,False,feature_error,'SimpleImputer' object has no attribute '_fill_dtype'
https://cloudplusplus-pro.com,National Informatics Centre (NIC),cloud.gov.in,timeout,NA,0.0,Unknown,0.0,False,False,feature_error,'SimpleImputer' object has no attribute '_fill_dtype'
https://agate-cloud.com,National Informatics Centre (NIC),cloud.gov.in,timeout,NA,0.0,Unknown,0.0,False,False,feature_error,'SimpleImputer' object has no attribute '_fill_dtype'
https://airtravelinindia.com,Airtel,airtel.in,timeout,NA,0.0,Unknown,0.0,False,False,feature_error,'SimpleImputer' object has no attribute '_fill_dtype'
https://sewindian.com,BSE Ltd.,bseindia.com,timeout,NA,0.0,Unknown,0.0,False,False,feature_error,'SimpleImputer' object has no attribute '_fill_dtype'
https://uparrow-mail.info,National Informatics Centre (NIC),kavach.mail.gov.in,timeout,NA,0.0,Unknown,0.0,False,False,feature_error,'SimpleImputer' object has no attribute '_fill_dtype'
https://cloudpride.com,National Informatics Centre (NIC),cloud.gov.in,timeout,NA,0.0,Unknown,0.0,False,False,feature_error,'SimpleImputer' object has no attribute '_fill_dtype'
https://main-zlks.com,National Informatics Centre (NIC),kavach.mail.gov.in,timeout,NA,0.0,Unknown,0.0,False,False,feature_error,'SimpleImputer' object has no attribute '_fill_dtype'
https://finsintech.com,Kfintech,kfintech.com,timeout,NA,0.0,Unknown,0.0,False,False,feature_error,'SimpleImputer' object has no attribute '_fill_dtype'
https://indiandaz.com,IndusInd Bank,indusind.bank.in,timeout,NA,0.0,Unknown,0.0,False,False,feature_error,'SimpleImputer' object has no attribute '_fill_dtype'
https://ampfintech.com,Kfintech,kfintech.com,timeout,NA,0.0,Unknown,0.0,False,False,feature_error,'SimpleImputer' object has no attribute '_fill_dtype'
https://fintechers.com,Kfintech,kfintech.com,timeout,NA,0.0,Unknown,0.0,False,False,feature_error,'SimpleImputer' object has no attribute '_fill_dtype'
https://spabid.com,State Bank of India (SBI),sbi.co.in,timeout,NA,0.0,Unknown,0.0,False,False,feature_error,'SimpleImputer' object has no attribute '_fill_dtype'
https://maxbilbow.com,National Informatics Centre (NIC),kavach.mail.gov.in,timeout,NA,0.0,Unknown,0.0,False,False,feature_error,'SimpleImputer' object has no attribute '_fill_dtype'
