url,shortlisted_cse,shortlisted_domain,fetch_status,classification,confidence_band,evidence_tier,lexical_score,hash_score,old_fuzzy_hit,hybrid_lexical_hit,strict_lexical_hit,lexical_score_pass,fallback_rank_only,typo_anchor,hash_anchor,clip_anchor,tvc_brand_detected,tvc_detected_brand,tvc_brand_spoofed,ocr_text_len,registrar,hosting_isp,hosting_country,dns_records,brand_model_top1,brand_model_confidence,domain_model_top1,domain_model_confidence,model_brand_agrees_with_shortlist,model_domain_agrees_with_shortlist,model_feature_status,model_input_error
https://camsclearing.com,Computer Age Management Services Ltd. (CAMS),camsonline.com,timeout,Suspected,Low,weak_evidence,0.8683,0.0,True,True,True,True,False,True,False,False,False,none,False,0,"GoDaddy.com, LLC",AMAZON-02,US,A:13.248.213.45;A:76.223.67.189;NS:ns32.domaincontrol.com.;NS:ns31.domaincontrol.com.,NA,0.0,Unknown,0.0,False,False,feature_error,'SimpleImputer' object has no attribute '_fill_dtype'
https://homefpl.com,State Bank of India (SBI),homeloans.sbi,timeout,Suspected,Low,weak_evidence,0.854,0.0,True,True,True,True,False,True,False,False,False,none,False,0,"GoDaddy.com, LLC",AMAZON-02,US,A:15.197.148.33;A:3.33.130.190;NS:ns10.domaincontrol.com.;NS:ns09.domaincontrol.com.,NA,0.0,Unknown,0.0,False,False,feature_error,'SimpleImputer' object has no attribute '_fill_dtype'
https://abdelmunaim.com,National Health Authority (NHA),abdm.gov.in,timeout,Suspected,Low,weak_evidence,0.8515,0.0,True,True,True,True,False,True,False,False,False,none,False,0,"HOSTINGER operations, UAB",Hostinger International Limited,LT,A:2.57.91.91;NS:ns1.dns-parking.com.;NS:ns2.dns-parking.com.,NA,0.0,Unknown,0.0,False,False,feature_error,'SimpleImputer' object has no attribute '_fill_dtype'
https://rbillman.com,Reserve Bank of India (RBI),rbi.org.in,timeout,Suspected,Low,weak_evidence,0.8542,0.0,True,True,True,True,False,True,False,False,False,none,False,0,"NameCheap, Inc.",AMAZON-02,IE,A:63.34.15.44;NS:dns2.registrar-servers.com.;NS:dns1.registrar-servers.com.;MX:10 eforward1.registrar-servers.com.;MX:10 eforward3.registrar-servers.com.;MX:15 eforward4.registrar-servers.com.;MX:20 eforward5.registrar-servers.com.;MX:10 eforward2.registrar-servers.com.,NA,0.0,Unknown,0.0,False,False,feature_error,'SimpleImputer' object has no attribute '_fill_dtype'
https://cloudincltd.com,National Informatics Centre (NIC),cloud.gov.in,timeout,Suspected,Low,weak_evidence,0.8909,0.0,True,True,True,True,False,True,False,False,False,none,False,0,"GoDaddy.com, LLC",AMAZON-02,US,A:3.33.130.190;A:15.197.148.33;NS:ns11.domaincontrol.com.;NS:ns12.domaincontrol.com.;MX:1 aspmx.l.google.com.;MX:10 alt3.aspmx.l.google.com.;MX:10 alt4.aspmx.l.google.com.;MX:5 alt1.aspmx.l.google.com.;MX:5 alt2.aspmx.l.google.com.,NA,0.0,Unknown,0.0,False,False,feature_error,'SimpleImputer' object has no attribute '_fill_dtype'
https://cloudplusplus-pro.com,National Informatics Centre (NIC),cloud.gov.in,timeout,Suspected,Low,weak_evidence,0.8588,0.0,True,True,True,True,False,True,False,False,False,none,False,0,"GoDaddy.com, LLC",AMAZON-02,US,A:13.248.213.45;A:76.223.67.189;NS:ns66.domaincontrol.com.;NS:ns65.domaincontrol.com.,NA,0.0,Unknown,0.0,False,False,feature_error,'SimpleImputer' object has no attribute '_fill_dtype'
https://agate-cloud.com,National Informatics Centre (NIC),cloud.gov.in,timeout,Suspected,Low,weak_evidence,0.7374,0.0,False,True,True,False,False,True,False,False,False,none,False,0,"GoDaddy.com, LLC",NA,GB,A:209.42.28.62;NS:ns05.domaincontrol.com.;NS:ns06.domaincontrol.com.;MX:20 mx2.zoho.in.;MX:10 mx.zoho.in.;MX:50 mx3.zoho.in.,NA,0.0,Unknown,0.0,False,False,feature_error,'SimpleImputer' object has no attribute '_fill_dtype'
https://airtravelinindia.com,Airtel,airtel.in,timeout,Suspected,Low,weak_evidence,0.875,0.0,True,True,True,True,False,True,False,False,False,none,False,0,"GoDaddy.com, LLC",AMAZON-02,US,A:13.248.213.45;A:76.223.67.189;NS:ns66.domaincontrol.com.;NS:ns65.domaincontrol.com.,NA,0.0,Unknown,0.0,False,False,feature_error,'SimpleImputer' object has no attribute '_fill_dtype'
https://sewindian.com,BSE Ltd.,bseindia.com,timeout,Suspected,Low,weak_evidence,0.8843,0.0,True,True,True,True,False,True,False,False,False,none,False,0,"GoDaddy.com, LLC",AMAZON-02,US,A:3.33.130.190;A:15.197.148.33;NS:ns12.domaincontrol.com.;NS:ns11.domaincontrol.com.,NA,0.0,Unknown,0.0,False,False,feature_error,'SimpleImputer' object has no attribute '_fill_dtype'
https://uparrow-mail.info,National Informatics Centre (NIC),kavach.mail.gov.in,timeout,Suspected,Low,weak_evidence,0.5,0.0,False,True,True,False,False,True,False,False,False,none,False,0,Porkbun LLC,CLOUDFLARENET,NA,A:172.67.137.135;A:104.21.78.212;NS:romina.ns.cloudflare.com.;NS:tony.ns.cloudflare.com.;MX:10 node3.uparrowagency.com.,NA,0.0,Unknown,0.0,False,False,feature_error,'SimpleImputer' object has no attribute '_fill_dtype'
